datetime,open,high,low,close,volume,ind_RSI_14,long_cond_1,short_cond_1,signal
2026-04-01 15:00:00,0.8994,0.9016,0.8952,0.9014,159591.5,62.629246676514036,False,False,0
2026-04-01 16:00:00,0.9014,0.909,0.8959,0.9055,252921.23,63.78152185882613,False,False,0
2026-04-01 17:00:00,0.9055,0.9147,0.8985,0.9006,251140.85,66.08982544076011,False,False,0
2026-04-01 18:00:00,0.9006,0.9015,0.8918,0.8932,196125.15,61.079615451623326,False,False,0
2026-04-01 19:00:00,0.8932,0.8986,0.8931,0.8953,105665.37,54.37545292420359,False,False,0
2026-04-01 20:00:00,0.8953,0.8957,0.8852,0.8903,167678.63999999998,55.85623078002173,False,False,0
2026-04-01 21:00:00,0.8903,0.8968,0.8894,0.8937,95651.13,51.56500101439773,False,False,0
2026-04-01 22:00:00,0.8937,0.8937,0.8829,0.8839,169105.5,54.144836348003025,False,False,0
2026-04-01 23:00:00,0.8839,0.8851,0.8805,0.882,175099.84,46.462897840190465,False,False,0
2026-04-02 00:00:00,0.882,0.8942,0.8786,0.8921,588357.88,45.126135706804675,False,False,0
2026-04-02 01:00:00,0.8921,0.893,0.8642,0.8696,2556828.52,52.88594092986506,False,False,0
2026-04-02 02:00:00,0.8696,0.8697,0.8572,0.8614,656344.3400000001,39.48896322419559,False,False,0
2026-04-02 03:00:00,0.8614,0.8659,0.8549,0.8591,197319.55,35.91792980833427,False,False,0
2026-04-02 04:00:00,0.8591,0.8616,0.8559,0.8566,153391.02,34.96288422255263,False,False,0
2026-04-02 05:00:00,0.8566,0.8626,0.8536,0.8618,125757.3,33.90751217670921,False,False,0
2026-04-02 06:00:00,0.8618,0.8658,0.8606,0.8627,185094.32,38.093361359640525,False,False,0
2026-04-02 07:00:00,0.8627,0.8706,0.862,0.8635,475121.21,38.815625167022574,False,False,0
2026-04-02 08:00:00,0.8635,0.8635,0.8504,0.8531,472694.11000000004,39.49140905000894,False,False,0
2026-04-02 09:00:00,0.8531,0.8583,0.8528,0.855,125559.52,34.20263614715781,False,False,0
2026-04-02 10:00:00,0.855,0.8562,0.8526,0.8535,71583.96,35.891796355961695,False,False,0
2026-04-02 11:00:00,0.8535,0.8543,0.845,0.8505,298138.61,35.1251365223447,False,False,0
2026-04-02 12:00:00,0.8505,0.8515,0.8481,0.8491,124855.93000000001,33.58021757223572,False,False,0
2026-04-02 13:00:00,0.8491,0.8506,0.842,0.8495,261105.93,32.85399894766054,False,False,0
2026-04-02 14:00:00,0.8495,0.8656,0.8474,0.8633,338516.81,33.2978531419505,False,False,0
2026-04-02 15:00:00,0.8633,0.8633,0.8532,0.8583,113853.22,46.44967857238551,False,False,0
2026-04-02 16:00:00,0.8583,0.8646,0.8544,0.8619,140970.27,43.131381998787546,False,False,0
2026-04-02 17:00:00,0.8619,0.8691,0.852,0.8529,198907.36,46.11613504671257,False,False,0
2026-04-02 18:00:00,0.8529,0.8615,0.8504,0.8595,226506.36,40.406461915741666,False,False,0
2026-04-02 19:00:00,0.8595,0.8619,0.8559,0.8604,50987.96,45.71443615598675,False,False,0
2026-04-02 20:00:00,0.8604,0.8669,0.8591,0.8631,59577.95,46.41533192493703,False,False,0
2026-04-02 21:00:00,0.8631,0.8644,0.86,0.8627,64848.91,48.561023718534834,False,False,0
2026-04-02 22:00:00,0.8627,0.8649,0.8589,0.8615,59121.07,48.25275474374691,False,False,0
2026-04-02 23:00:00,0.8615,0.8631,0.8594,0.861,84794.8,47.283019618747204,False,False,0
2026-04-03 00:00:00,0.861,0.8629,0.8585,0.8597,72446.12,46.86043780980925,False,False,0
2026-04-03 01:00:00,0.8597,0.8634,0.8569,0.86,102134.29,45.71641215232155,False,False,0
2026-04-03 02:00:00,0.86,0.8645,0.857,0.8631,183016.22,46.04377812861756,False,False,0
2026-04-03 03:00:00,0.8631,0.8678,0.8609,0.8649,161069.56,49.4370783037465,False,False,0
2026-04-03 04:00:00,0.8649,0.8686,0.8627,0.8675,110439.67,51.35026232556085,False,False,0
2026-04-03 05:00:00,0.8675,0.8738,0.8634,0.8684,121397.99,54.0545484187425,False,False,0
2026-04-03 06:00:00,0.8684,0.873,0.8652,0.8715,148572.84,54.98728957800708,False,False,0
2026-04-03 07:00:00,0.8715,0.8766,0.8701,0.8757,169478.85,58.13957894552985,False,False,0
2026-04-03 08:00:00,0.8757,0.8803,0.8734,0.8772,599014.73,62.02031861092184,False,False,0
2026-04-03 09:00:00,0.8772,0.8777,0.8728,0.8765,110050.92,63.32791342784613,False,False,0
2026-04-03 10:00:00,0.8765,0.8789,0.8723,0.8766,138406.41,62.250807717064596,False,False,0
2026-04-03 11:00:00,0.8766,0.8791,0.875,0.8779,87108.78,62.349327292866505,False,False,0
2026-04-03 12:00:00,0.8779,0.8852,0.8708,0.8727,390368.5,63.67650929371149,False,False,0
2026-04-03 13:00:00,0.8727,0.8732,0.8675,0.8711,115112.84999999999,55.28215354305743,False,False,0
2026-04-03 14:00:00,0.8711,0.874,0.8682,0.8682,111142.77,52.96835302131515,False,False,0
2026-04-03 15:00:00,0.8682,0.8754,0.8652,0.8696,1270791.81,48.96784920086152,False,False,0
2026-04-03 16:00:00,0.8696,0.8777,0.8688,0.8774,181534.49,50.89595222124309,False,False,0
2026-04-03 17:00:00,0.8774,0.8788,0.8736,0.8756,95770.66,59.970377133244725,False,False,0
2026-04-03 18:00:00,0.8756,0.8779,0.8737,0.8743,82516.55,57.337079367957834,False,False,0
2026-04-03 19:00:00,0.8743,0.8748,0.8697,0.8738,91333.64,55.44355967199186,False,False,0
2026-04-03 20:00:00,0.8738,0.8778,0.873,0.874,59690.04,54.69539642563866,False,False,0
2026-04-03 21:00:00,0.874,0.8778,0.8739,0.8763,63271.49,54.95722382293735,False,False,0
2026-04-03 22:00:00,0.8763,0.8768,0.8708,0.8718,51469.81,57.96578094040656,False,False,0
2026-04-03 23:00:00,0.8718,0.8749,0.8707,0.8739,111384.73,50.81440921996445,False,False,0
2026-04-04 00:00:00,0.8739,0.8748,0.8711,0.8717,29527.86,53.68599294541813,False,False,0
2026-04-04 01:00:00,0.8717,0.8723,0.8685,0.8701,43724.46,50.36835185874475,False,False,0
2026-04-04 02:00:00,0.8701,0.8714,0.8679,0.8688,36459.97,48.04304168597942,False,False,0
2026-04-04 03:00:00,0.8688,0.8717,0.8644,0.87,326158.74999999994,46.17767891832283,False,False,0
2026-04-04 04:00:00,0.87,0.8731,0.8688,0.872,68453.54,48.1778662686964,False,False,0
2026-04-04 05:00:00,0.872,0.8739,0.8702,0.8704,112584.27,51.41837869357695,False,False,0
2026-04-04 06:00:00,0.8704,0.875,0.8701,0.8743,70373.7,48.78990839826456,False,False,0
2026-04-04 07:00:00,0.8743,0.8747,0.8702,0.8713,70225.73,54.84867843661261,False,False,0
2026-04-04 08:00:00,0.8713,0.872,0.8659,0.8671,53754.35,49.95280556118408,False,False,0
2026-04-04 09:00:00,0.8671,0.8676,0.8655,0.8655,99733.86,44.02762075334744,False,False,0
2026-04-04 10:00:00,0.8655,0.8706,0.8654,0.8704,102791.93000000001,41.98453435718472,False,False,0
2026-04-04 11:00:00,0.8704,0.8728,0.8685,0.8722,301606.64999999997,49.68504283341209,False,False,0
2026-04-04 12:00:00,0.8722,0.8732,0.8682,0.8688,243443.52,52.19524020062744,False,False,0
2026-04-04 13:00:00,0.8688,0.8694,0.8665,0.8672,130104.32,47.38624691393058,False,False,0
2026-04-04 14:00:00,0.8672,0.8677,0.8614,0.8669,192511.09,45.2723581240871,False,False,0
2026-04-04 15:00:00,0.8669,0.8734,0.8663,0.8698,92671.08,44.868197129780604,False,False,0
2026-04-04 16:00:00,0.8698,0.8721,0.8647,0.865,80819.95999999999,49.55622601205756,False,False,0
2026-04-04 17:00:00,0.865,0.8711,0.8641,0.87,54983.86,43.033584251077,False,False,0
2026-04-04 18:00:00,0.87,0.8713,0.8681,0.8691,43624.01,50.362631206945075,False,False,0
2026-04-04 19:00:00,0.8691,0.8762,0.8689,0.87,221195.53,49.1371799939604,False,False,0
2026-04-04 20:00:00,0.87,0.8709,0.8677,0.8683,34081.26,50.43596991428711,False,False,0
