datetime,open,high,low,close,volume,ind_RSI_14,long_cond_1,short_cond_1,signal
2026-04-01 15:00:00,0.0591,0.0593,0.0586,0.0592,934876.2999999999,59.82905982905985,False,False,0
2026-04-01 16:00:00,0.0592,0.0594,0.0587,0.059,1317242.3,59.82905982905985,False,False,0
2026-04-01 17:00:00,0.059,0.0595,0.0589,0.0593,1103156.3,58.666005454996274,False,False,0
2026-04-01 18:00:00,0.0593,0.0593,0.0583,0.0586,1342023.6,59.9244758244969,False,False,0
2026-04-01 19:00:00,0.0587,0.0593,0.0587,0.0591,1726539.4,55.66570018127217,False,False,0
2026-04-01 20:00:00,0.0591,0.0592,0.0586,0.059,1056682.4,57.963758490504645,False,False,0
2026-04-01 21:00:00,0.059,0.0595,0.0589,0.0592,1393584.4,57.32377225872241,False,False,0
2026-04-01 22:00:00,0.0591,0.0595,0.0589,0.0595,1955123.9,58.315078319881394,False,False,0
2026-04-01 23:00:00,0.0594,0.0603,0.0593,0.0596,3198621.4,59.82265333813906,False,False,0
2026-04-02 00:00:00,0.0595,0.0595,0.0575,0.059,4896385.7,60.337576723695385,False,False,0
2026-04-02 01:00:00,0.0591,0.0595,0.0576,0.0583,1862147.5,55.7230008223931,False,False,0
2026-04-02 02:00:00,0.0582,0.0582,0.0571,0.0575,1075825.2,50.83800802196521,False,False,0
2026-04-02 03:00:00,0.0575,0.0582,0.0566,0.0569,1855494.3,45.88697841766318,False,False,0
2026-04-02 04:00:00,0.0569,0.0576,0.0565,0.0575,1275860.9,42.540732114960576,False,False,0
2026-04-02 05:00:00,0.0575,0.0586,0.0575,0.0581,2006125.6,46.7246168243026,False,False,0
2026-04-02 06:00:00,0.0583,0.0584,0.0576,0.0583,1622857.8,50.598482796289304,False,False,0
2026-04-02 07:00:00,0.0583,0.0583,0.0574,0.0579,1163144.0,51.85518100445822,False,False,0
2026-04-02 08:00:00,0.058,0.0581,0.0572,0.0574,1231633.8,49.161592026432274,False,False,0
2026-04-02 09:00:00,0.0574,0.0578,0.0566,0.0572,2392081.9,45.948624174842195,False,False,0
2026-04-02 10:00:00,0.0572,0.0572,0.0567,0.0569,1039686.3,44.69045259959103,False,False,0
2026-04-02 11:00:00,0.0568,0.0569,0.0563,0.0568,918750.9,42.79740833033248,False,False,0
2026-04-02 12:00:00,0.0568,0.057,0.0563,0.0564,898836.9,42.15638649488916,False,False,0
2026-04-02 13:00:00,0.0564,0.0567,0.0562,0.0566,1801586.0999999999,39.60127864441422,False,False,0
2026-04-02 14:00:00,0.0566,0.0578,0.0566,0.0573,929744.7,41.51016869897381,False,False,0
2026-04-02 15:00:00,0.0572,0.0572,0.0569,0.057,1383443.2,47.7361434034278,False,False,0
2026-04-02 16:00:00,0.057,0.0574,0.0564,0.0568,3253716.8,45.500752593066984,False,False,0
2026-04-02 17:00:00,0.0568,0.0572,0.0564,0.0566,880467.5,44.02076807636463,False,False,0
2026-04-02 18:00:00,0.0565,0.0567,0.0561,0.0562,451047.3,42.530966175939575,False,False,0
2026-04-02 19:00:00,0.0562,0.0563,0.056,0.0563,498835.0,39.64138805602668,False,False,0
2026-04-02 20:00:00,0.0563,0.0566,0.0561,0.0563,478278.6,40.725616825223725,False,False,0
2026-04-02 21:00:00,0.0563,0.0563,0.0556,0.0558,700074.3,40.72561682522372,False,False,0
2026-04-02 22:00:00,0.0559,0.0562,0.0557,0.0559,672069.1,36.88363929793685,False,False,0
2026-04-02 23:00:00,0.0559,0.0561,0.0557,0.0559,805471.6,38.140559810679065,False,False,0
2026-04-03 00:00:00,0.056,0.0572,0.055,0.0552,4399361.3,38.14055981067906,False,False,0
2026-04-03 01:00:00,0.0553,0.056,0.0551,0.0558,580499.7,32.8324850981744,False,False,0
2026-04-03 02:00:00,0.0558,0.0565,0.0556,0.0558,1093547.7,40.478914772446714,False,False,0
2026-04-03 03:00:00,0.0558,0.056,0.0554,0.0555,1449050.5,40.47891477244671,False,False,0
2026-04-03 04:00:00,0.0556,0.0565,0.0555,0.0564,1192509.2,37.9722020111119,False,False,0
2026-04-03 05:00:00,0.0564,0.0575,0.0563,0.0574,2051154.5,48.31317700282239,False,False,0
2026-04-03 06:00:00,0.0574,0.0581,0.0574,0.0577,2439361.9,56.909270729660854,False,False,0
2026-04-03 07:00:00,0.0576,0.0576,0.0572,0.0576,859295.0,59.106529521385845,False,False,0
2026-04-03 08:00:00,0.0576,0.0583,0.0576,0.058,1466447.8,58.04405496152833,False,False,0
2026-04-03 09:00:00,0.058,0.0585,0.0579,0.0584,907530.7,61.059357332661435,False,False,0
2026-04-03 10:00:00,0.0584,0.0586,0.0576,0.0576,2781962.9,63.85672497612471,False,False,0
2026-04-03 11:00:00,0.0576,0.0578,0.0572,0.0574,1423275.8,55.300363947041454,False,False,0
2026-04-03 12:00:00,0.0575,0.0578,0.0568,0.0569,1695022.1,53.3748621924562,False,False,0
2026-04-03 13:00:00,0.057,0.0571,0.0565,0.0569,667648.9,48.8001692469561,False,False,0
2026-04-03 14:00:00,0.0569,0.0577,0.0568,0.0575,1049278.5999999999,48.800169246956095,False,False,0
2026-04-03 15:00:00,0.0575,0.0575,0.0569,0.0569,691186.6,54.256550487583574,False,False,0
2026-04-03 16:00:00,0.0569,0.0575,0.0567,0.0574,894214.0,48.67070980099769,False,False,0
2026-04-03 17:00:00,0.0574,0.0575,0.057,0.057,436114.10000000003,53.012072711205995,False,False,0
2026-04-03 18:00:00,0.057,0.0571,0.0567,0.0568,547039.3,49.411562161943685,False,False,0
2026-04-03 19:00:00,0.0568,0.0574,0.0567,0.0573,772885.5,47.66825759449255,False,False,0
2026-04-03 20:00:00,0.0573,0.0573,0.057,0.0571,286828.6,52.20793670886644,False,False,0
2026-04-03 21:00:00,0.057,0.0571,0.0568,0.0569,233178.4,50.32728598114834,False,False,0
2026-04-03 22:00:00,0.0568,0.0568,0.0566,0.0566,506239.8,48.44783637048772,False,False,0
2026-04-03 23:00:00,0.0566,0.0568,0.0564,0.0567,502600.1,45.691462181622356,False,False,0
2026-04-04 00:00:00,0.0567,0.0568,0.0558,0.0564,1412241.1,46.77842561452282,False,False,0
2026-04-04 01:00:00,0.0564,0.0567,0.0561,0.0562,957464.7000000001,43.937326471932344,False,False,0
2026-04-04 02:00:00,0.0561,0.0562,0.0557,0.0559,1253492.7,42.10149937750729,False,False,0
2026-04-04 03:00:00,0.0559,0.056,0.0558,0.0559,1188422.5,39.43951411726409,False,False,0
2026-04-04 04:00:00,0.0559,0.0561,0.0559,0.0559,649497.6,39.43951411726408,False,False,0
2026-04-04 05:00:00,0.0559,0.0563,0.0559,0.0562,881277.3,39.43951411726408,False,False,0
2026-04-04 06:00:00,0.0562,0.0566,0.0562,0.0564,502741.4,43.871946461212104,False,False,0
2026-04-04 07:00:00,0.0565,0.0566,0.0562,0.0564,435675.6,46.674053747090134,False,False,0
2026-04-04 08:00:00,0.0564,0.0567,0.0563,0.0565,804624.8,46.67405374709013,False,False,0
2026-04-04 09:00:00,0.0566,0.0567,0.0563,0.0565,1057203.8,48.17438989266344,False,False,0
2026-04-04 10:00:00,0.0565,0.0569,0.0565,0.0566,703401.9,48.174389892663434,False,False,0
2026-04-04 11:00:00,0.0566,0.0566,0.0564,0.0565,318467.4,49.8120319428606,False,False,0
2026-04-04 12:00:00,0.0565,0.057,0.0565,0.0567,672202.4,48.172724354368036,False,False,0
2026-04-04 13:00:00,0.0567,0.0568,0.0565,0.0567,635085.7,51.60322343368385,False,False,0
2026-04-04 14:00:00,0.0566,0.0566,0.0562,0.0566,1029806.1000000001,51.60322343368385,False,False,0
2026-04-04 15:00:00,0.0566,0.057,0.0561,0.0562,1847506.7,49.69575402194009,False,False,0
