combo,sharpe,sortino,calmar,max_drawdown,cagr,profit_factor,win_rate,recovery_factor,risk_of_ruin
binance_doge,3.7632750359934226,7.385855792785682,10.092368355873425,-0.9,0.06160447810410785,2.4560322884904386,0.6666666666666666,2.375919851972712,2.305843009213721e-43
binance_sol,1.8701882700190582,3.276761715277871,3.664145343641807,-0.9001139300000001,0.029606914420456043,1.4409071424104067,0.5172413793103449,0.8777445574280801,4.604653029200257e-31
binance_btc,1.1958554764935903,1.9844299833854462,2.2222147344083445,-0.90011407,0.018597396500598995,1.2671185190818037,0.4827586206896552,0.5364157696835568,1.2588993579242788e-28
binance_eth,3.7794069691220455,7.669568904040707,20.284022544756994,-0.9,0.06924980439505668,2.1187344053405344,0.5806451612903226,4.759096224798713,7.0564067865033e-36
binance_ada,1.9290065743038591,3.0670644191184557,6.39780344504743,-0.9001565950957412,0.036362138106622144,1.526411218914805,0.5555555555555556,1.5285397915601446,6.484093887097792e-34
binance_ltc,4.7974412114028695,10.066999124074556,22.686225387073645,-0.9001139300000001,0.07745094283200227,2.8158386192885465,0.6538461538461539,5.2984650643833975,3.691622509757302e-42
binance_mina,1.6768904751058444,2.521676335255792,6.252236125715599,-0.9002408935479203,0.026640866780458294,1.4838829969305611,0.5652173913043478,1.5006418776421453,1.1629136098411445e-34
binance_sui,0.4016473808984293,0.5232086771961698,0.7727635639766108,-0.9001986832816771,0.010695796013481251,1.0892681083900908,0.5806451612903226,0.1925387768787287,7.0564067865033e-36
bybit_doge,2.4326042033088795,4.145243117333625,5.843027083408369,-0.9,0.03566622038840439,1.7384138598831893,0.5833333333333334,1.3939125036085214,4.2973488116158804e-36
bybit_sol,2.494296819686396,4.381111200053139,5.253783195393628,-0.9001139300000001,0.042451457259896186,1.6278070959196513,0.5333333333333333,1.249718255739984,3.059020897130281e-32
bybit_btc,1.872657031405126,3.3362015186330662,3.909893519767683,-0.90011407,0.02829903768965747,1.4449503485629374,0.5172413793103449,0.9370299134367159,4.604653029200257e-31
bybit_eth,3.026570559402495,5.281745000523524,15.428772944637565,-0.9,0.05922011404843475,1.83167109524886,0.5806451612903226,3.640028139983081,7.0564067865033e-36
bybit_ada,2.7063308545723768,4.745639667021828,11.924549889073592,-0.9000845698691207,0.054249760555496795,1.8354330061151578,0.5769230769230769,2.8212582068137704,1.39681385692009e-35
bybit_ltc,6.3004913262185305,14.2396699439287,30.655594783813896,-0.9001139300000001,0.10465842944658066,3.872609764060055,0.7407407407407407,7.0675343137259174,3.5728197528264696e-51
bybit_mina,3.227114542683977,5.415700755035688,14.217190017468898,-0.9001139300000001,0.044372794174321495,2.2347712514916305,0.6818181818181818,3.3745183804664154,7.774550211714067e-45
bybit_sui,0.6951576596941903,0.9944673277215021,1.832937490193707,-0.9001986832816771,0.020248325443793513,1.1725607245606158,0.5666666666666667,0.4486198504401645,8.965513248163158e-35
