datetime,actual,predicted,signal
2025-08-09 03:00:00,0.0031912180131063845,0.0024806174358976796,Buy
2025-08-09 04:00:00,0.005753941913213233,0.0007521966112568394,Hold
2025-08-09 05:00:00,0.006588196043808766,-0.0030322927580329223,Sell
2025-08-09 06:00:00,0.0066082504485398255,0.0008193008210781671,Hold
2025-08-09 07:00:00,0.0030272913139011604,0.0017522093811824565,Hold
2025-08-09 09:00:00,-0.004627711041286078,-0.0019048471852761242,Hold
2025-08-09 10:00:00,-0.003850650817764358,-0.0014572416338568567,Hold
2025-08-09 11:00:00,-0.0018592116797805345,0.000971842666317449,Hold
2025-08-09 12:00:00,-0.004005136144349301,-0.0011309152068852265,Hold
2025-08-09 13:00:00,-0.0025518064079826978,-0.0011643526215659311,Hold
2025-08-09 14:00:00,-0.0028933988052669084,-3.826597558563119e-05,Hold
2025-08-09 15:00:00,-0.003056874353350852,-0.0012066249746384592,Hold
2025-08-09 16:00:00,0.0011100707837495795,-0.0002485196521763652,Hold
2025-08-09 17:00:00,-0.001253289749030627,0.0002961551637433626,Hold
2025-08-09 22:00:00,0.006639563102622937,0.004736893895248215,Buy
2025-08-09 23:00:00,0.017345774414663385,0.0020718062928334717,Buy
2025-08-10 00:00:00,0.01475981130224573,0.0037352683765114205,Buy
2025-08-10 01:00:00,0.01251888408062311,0.002673544952507384,Buy
2025-08-10 02:00:00,0.0064254678407733865,0.002277666286828433,Buy
2025-08-10 03:00:00,-0.005854233435701526,-0.0016023188404186415,Hold
2025-08-10 04:00:00,-0.0014915902345811547,-0.002216875047602798,Sell
2025-08-10 05:00:00,0.002099366222441811,-0.0030479031569163578,Sell
2025-08-10 07:00:00,0.004423505791493121,0.002884296406852756,Buy
2025-08-10 08:00:00,0.00173251906490644,0.001961163630658928,Hold
2025-08-10 09:00:00,0.0013425413011329886,0.0013737044726365624,Hold
2025-08-10 10:00:00,0.006410521997507055,0.0030448145924790782,Buy
2025-08-10 11:00:00,0.0040854286533752535,0.0005001794243013296,Hold
2025-08-10 12:00:00,0.0013300970223218132,5.9607083114219595e-05,Hold
2025-08-10 14:00:00,-0.00189598629705009,-0.0015926497164340456,Hold
2025-08-10 15:00:00,-0.0012794445763090509,-0.0028866893258609637,Sell
2025-08-10 16:00:00,-0.0029416687985037034,0.0014728566419257231,Hold
2025-08-10 17:00:00,0.001657244550341458,-0.0006858907725840994,Hold
2025-08-10 18:00:00,0.004468214726422938,-0.0012581963819662551,Hold
2025-08-10 19:00:00,0.005302901279542995,-0.0012926840741689309,Hold
2025-08-10 20:00:00,0.006765169263409819,-0.00246219033822462,Sell
2025-08-10 21:00:00,0.010650070563401162,-0.0011757198289307628,Hold
2025-08-10 22:00:00,0.023167282356651976,-0.0008180765307071808,Hold
2025-08-10 23:00:00,0.020206062048647347,-0.0034336894372868033,Sell
2025-08-11 00:00:00,0.024491872992206398,-0.002224573970296482,Sell
2025-08-11 01:00:00,0.01711558214321904,-0.0017269346775745736,Hold
2025-08-11 02:00:00,0.0034780595346798476,0.0002852825258517628,Hold
2025-08-11 03:00:00,-0.001577202974223643,0.002482836594864911,Buy
2025-08-11 04:00:00,-0.0032890695120507663,-0.003782288486368151,Sell
2025-08-11 05:00:00,-0.005089064909506926,-0.0022308067415997565,Sell
2025-08-11 06:00:00,-0.009165210643740417,-0.0035091921947328565,Sell
2025-08-11 07:00:00,-0.008059649402725997,-0.0031746239960829246,Sell
2025-08-11 08:00:00,-0.016869338628882846,-0.005119839611643044,Sell
2025-08-11 09:00:00,-0.011843182372074762,-0.007359932400971555,Sell
2025-08-11 10:00:00,-0.007797381351723716,-0.007696820879996929,Sell
2025-08-11 11:00:00,-0.002052011394084438,-0.0074758105001400225,Sell
2025-08-11 12:00:00,0.002587258773087811,-0.003767110934474102,Sell
2025-08-11 13:00:00,-0.004258701271784583,-0.0018166007516803473,Hold
2025-08-11 14:00:00,-0.003913636129937012,-0.0039376276075788405,Sell
2025-08-11 15:00:00,-0.010234684710035413,-0.004517228504291479,Sell
2025-08-11 16:00:00,-0.009459150070356743,-0.006583988411862576,Sell
2025-08-11 17:00:00,-0.006610841194521122,-0.007236045460047781,Sell
2025-08-11 18:00:00,-0.007432840132781503,-0.0054327766969717185,Sell
2025-08-11 19:00:00,-0.003392281593170769,-0.005754006588259853,Sell
2025-08-11 20:00:00,0.0010511678775773983,-0.005388423961874809,Sell
2025-08-11 21:00:00,0.0022255074413248302,-0.004020535227960123,Sell
2025-08-11 22:00:00,0.0014051379482646039,-0.005377799794539521,Sell
2025-08-11 23:00:00,0.0014456289929150768,-0.00521668940827423,Sell
2025-08-12 01:00:00,-0.001321378851692857,-0.004343702490428945,Sell
2025-08-12 02:00:00,-0.0018004654831970252,-0.0027687889700973942,Sell
2025-08-12 03:00:00,0.0010849109905966678,-0.002545129998555552,Sell
2025-08-12 04:00:00,-0.0021293698754802958,-0.0009864025660034823,Hold
2025-08-12 05:00:00,-0.0034701617943194095,9.029948780617403e-05,Hold
2025-08-12 06:00:00,-0.003286951973135753,0.001224621526177265,Hold
2025-08-12 07:00:00,-0.0039114366997021754,0.0010400446133182158,Hold
2025-08-12 08:00:00,0.0037799205755991213,0.0008808569152689915,Hold
2025-08-12 09:00:00,0.0037003995722225333,0.0033811750686932513,Buy
2025-08-12 10:00:00,0.008299194234122651,0.002407673254433001,Buy
2025-08-12 11:00:00,0.011832799976811812,0.002674366831347546,Buy
2025-08-12 12:00:00,0.003206534213608287,-0.001494197501658041,Hold
2025-08-12 13:00:00,0.0035498502026142685,0.0022943094698126836,Buy
2025-08-12 15:00:00,-0.0022348250797484463,-0.00018401479913833496,Hold
2025-08-12 16:00:00,0.004539704710874866,0.0009579473697865627,Hold
2025-08-12 17:00:00,0.005296338246422137,0.0014811759379641887,Hold
2025-08-12 18:00:00,0.006307025412249937,0.00018405491625001372,Hold
2025-08-12 19:00:00,0.0039100239202066595,-0.002199231956554494,Sell
2025-08-12 20:00:00,-0.003992497507273856,-0.0027551214818328147,Sell
2025-08-12 21:00:00,-0.0035498972181563105,-0.0006653131463356005,Hold
2025-08-12 22:00:00,-0.004595221693145289,2.4229977185708135e-05,Hold
2025-08-12 23:00:00,-0.005442636257437758,-3.219437189702464e-05,Hold
2025-08-13 00:00:00,-0.0031640507270371773,0.0006556978949600078,Hold
2025-08-13 01:00:00,-0.003418837418609323,0.0006696900343670451,Hold
2025-08-13 02:00:00,-0.001166390838472782,-0.0028449978442471628,Sell
2025-08-13 04:00:00,0.005927676158031376,-0.005620715409402281,Sell
2025-08-13 05:00:00,0.008740758676218274,-0.006790573902887228,Sell
2025-08-13 06:00:00,0.00905352406862627,-0.0038999810629051996,Sell
2025-08-13 07:00:00,0.008244949149521478,-0.0036444676482443776,Sell
2025-08-13 08:00:00,0.0019077211795280441,-0.00253681456201735,Sell
2025-08-13 09:00:00,0.013659239574120447,0.00045364512486352753,Hold
2025-08-13 10:00:00,0.003270522384112452,-0.0010839821432378932,Hold
2025-08-13 11:00:00,0.0029003996173808722,-0.0015540138835733015,Hold
2025-08-13 12:00:00,0.009500041844850208,-0.0012059655118878923,Hold
2025-08-13 14:00:00,0.0061722062604757325,0.002665079697052285,Buy
2025-08-13 15:00:00,0.014968299264323215,-0.0018433602129018514,Hold
2025-08-13 16:00:00,0.01213345709704696,-0.0019464320825842265,Hold
2025-08-13 17:00:00,0.006039029026833239,-0.0061780125059857135,Sell
2025-08-13 18:00:00,0.010751259673295564,-0.006028468209143817,Sell
2025-08-13 19:00:00,0.00456996152073048,-0.005837448692415461,Sell
2025-08-13 20:00:00,0.007649990394204332,-0.002469519742109726,Sell
2025-08-13 21:00:00,0.00631570781469934,-0.005087599204575778,Sell
2025-08-13 22:00:00,0.005745777568206716,-0.005682564892685232,Sell
2025-08-14 00:00:00,-0.006843507188837134,-0.007743683874455431,Sell
2025-08-14 01:00:00,-0.009800853227800287,-0.006780029549482588,Sell
2025-08-14 02:00:00,-0.015411874282322643,-0.008895641183128397,Sell
2025-08-14 03:00:00,-0.013154632569020117,-0.009482996937624444,Sell
2025-08-14 04:00:00,-0.011162515330887997,-0.0097176561130022,Sell
2025-08-14 05:00:00,-0.003978271306345506,-0.01181756300250655,Sell
2025-08-14 06:00:00,-0.0069077757332715334,-0.00812890742935696,Sell
2025-08-14 07:00:00,-0.006392440137546282,-0.006814167500766168,Sell
2025-08-14 08:00:00,-0.02304769110294196,-0.006863122637577074,Sell
2025-08-14 09:00:00,-0.026834395671182888,-0.005728449616339067,Sell
2025-08-14 10:00:00,-0.017803599669003384,-0.009097699068414046,Sell
2025-08-14 11:00:00,-0.022512172377294637,-0.0047657934508615945,Sell
2025-08-14 12:00:00,-0.008447971631201716,-0.009390432262677082,Sell
2025-08-14 13:00:00,-0.0043048274260669905,-0.004058998045849234,Sell
2025-08-14 14:00:00,-0.0059881449789237606,-0.0029830804697327374,Sell
2025-08-14 15:00:00,-0.002636121947809555,-0.0014682734625755913,Hold
2025-08-14 18:00:00,0.0016559269876166845,0.0022592296260758927,Buy
2025-08-14 19:00:00,0.0029560511467578076,-0.00099298161553411,Hold
2025-08-14 20:00:00,0.0026758118222114462,-0.0013602537611464099,Hold
2025-08-14 21:00:00,0.006614931163192602,0.0021590772242347568,Buy
2025-08-14 22:00:00,0.0034815967048283337,0.0019228670517850604,Hold
2025-08-14 23:00:00,0.005679932999054406,-0.0017361480054189581,Hold
2025-08-15 00:00:00,0.005493843322495656,0.00096224487045921,Hold
2025-08-15 01:00:00,0.0025468535906175245,-0.0005931854697855325,Hold
2025-08-15 02:00:00,0.0032367651517780606,0.0022477280347348782,Buy
2025-08-15 05:00:00,-0.002324855686933024,-0.0005871577490261698,Hold
2025-08-15 06:00:00,-0.0017060664708204048,-1.7828997526194573e-06,Hold
2025-08-15 08:00:00,-0.0019371246543514562,-0.003541586690944097,Sell
2025-08-15 09:00:00,-0.007928966316885843,0.0006731069590652639,Hold
2025-08-15 10:00:00,-0.012526243560971598,0.0018132384954051327,Hold
2025-08-15 11:00:00,-0.014650515892516579,0.0009863731979787406,Hold
2025-08-15 12:00:00,-0.010977134913284937,0.002835339176365509,Buy
2025-08-15 13:00:00,-0.0015598407971737708,0.003416835303018911,Buy
2025-08-15 14:00:00,-0.0020492874530135285,0.0030843028580470684,Buy
2025-08-15 15:00:00,-0.0028943946057471545,0.0007329795419353357,Hold
2025-08-15 17:00:00,-0.002272390205675025,0.0009453510905228607,Hold
2025-08-15 18:00:00,0.004618386534320937,0.0004943864960881315,Hold
2025-08-15 19:00:00,0.003464088403714133,3.956241178974411e-05,Hold
2025-08-15 20:00:00,0.003873881773663875,0.0006141746943213684,Hold
2025-08-15 21:00:00,0.004266201455525292,0.0019057464628765126,Hold
2025-08-15 22:00:00,-0.0016707803735400116,0.001650886204162343,Hold
2025-08-16 01:00:00,-0.0019184655717523185,0.0017449118091761656,Hold
2025-08-16 03:00:00,0.0014163559799981414,0.004315565326467811,Buy
2025-08-16 04:00:00,-0.001567828290748576,0.005369015972251122,Buy
2025-08-16 05:00:00,-0.0024160982496863677,0.004546851558406954,Buy
2025-08-16 07:00:00,-0.0018516901096453696,0.006399364518699564,Buy
2025-08-16 09:00:00,0.0026519632499530524,0.0010392366217452952,Hold
2025-08-16 10:00:00,0.0032606849310639935,0.0027125043794992802,Buy
2025-08-16 11:00:00,0.0025371073226669073,0.00423666606627603,Buy
2025-08-16 17:00:00,-0.0020480118150240875,-0.00013157299096576566,Hold
2025-08-16 18:00:00,-0.0019156586430374098,0.00045664318163195867,Hold
2025-08-16 19:00:00,-0.0024799549222732746,0.0015112546324263123,Hold
2025-08-16 20:00:00,-0.003407427227476823,0.0009980149221967107,Hold
2025-08-16 22:00:00,0.0012374369077316615,0.0002796052789691126,Hold
2025-08-16 23:00:00,0.0025889807527929073,-0.00028832049882720356,Hold
2025-08-17 00:00:00,0.006976745803493262,0.0013540243683534759,Hold
2025-08-17 01:00:00,0.0047573997948422335,0.002929015390925837,Buy
2025-08-17 02:00:00,0.0027002097967135422,0.0019163632995139327,Hold
2025-08-17 03:00:00,0.0027241625168343683,0.0016316615118331173,Hold
2025-08-17 04:00:00,0.0024526094084190084,-0.00030059917762084655,Hold
2025-08-17 05:00:00,0.002927743622789253,-0.0002948890396268477,Hold
2025-08-17 06:00:00,0.003972206499908094,-0.00019765477839614603,Hold
2025-08-17 07:00:00,0.002556176758357102,-0.0015284624515795426,Hold
2025-08-17 08:00:00,-0.0017203839076588969,-0.0014446023292346436,Hold
2025-08-17 10:00:00,-0.0020573825967296344,-0.00048397114370783446,Hold
2025-08-17 12:00:00,-0.002780035245119348,0.00013437701594045106,Hold
2025-08-17 13:00:00,-0.0044851767520103,-8.327119756072719e-05,Hold
2025-08-17 14:00:00,-0.005159286671282686,0.001360167919091458,Hold
2025-08-17 15:00:00,-0.005734057002372816,0.0012718292772295329,Hold
2025-08-17 16:00:00,-0.0019973332497809342,0.00035706604655752656,Hold
2025-08-17 17:00:00,-0.0016977932770942247,0.001030738169256845,Hold
2025-08-17 18:00:00,0.003507309420896128,-0.0008828457723821577,Hold
2025-08-17 19:00:00,-0.001404915169297505,-0.001257539062329723,Hold
2025-08-17 20:00:00,-0.0026331530998786787,-0.0008088060553717281,Hold
2025-08-17 21:00:00,-0.012227897902132604,0.00017225523496323597,Hold
2025-08-17 22:00:00,-0.021437511516971847,0.0006412222810654762,Hold
2025-08-17 23:00:00,-0.017927379890271357,3.941856454701534e-05,Hold
2025-08-18 00:00:00,-0.015644608020244567,0.002941662421188199,Buy
2025-08-18 01:00:00,-0.005014290490999837,-8.609412081847165e-07,Hold
2025-08-18 02:00:00,-0.0018004433148436627,-0.00046087434457383567,Hold
2025-08-18 04:00:00,-0.0028974247795275025,-0.005132649363121949,Sell
2025-08-18 05:00:00,-0.005630318638086448,-0.0024741825218674426,Sell
2025-08-18 06:00:00,-0.0016237662169935256,0.001347419366065833,Hold
2025-08-18 07:00:00,-0.0022481551658675623,2.8073687446198563e-06,Hold
2025-08-18 08:00:00,0.003334500930639401,0.000458538326281722,Hold
2025-08-18 09:00:00,-0.0017342277684210107,0.0003359384238427976,Hold
2025-08-18 10:00:00,0.004986305713216876,-0.002065983318616221,Sell
2025-08-18 11:00:00,0.010368836406893013,0.0014798210477026724,Hold
2025-08-18 12:00:00,0.0038210322933324744,-0.0010718475975159184,Hold
2025-08-18 13:00:00,0.013749279804520339,-0.0014011803112685157,Hold
2025-08-18 14:00:00,0.007307427790889752,0.00372810004737014,Buy
2025-08-18 15:00:00,0.0014510067596765178,-0.0048011821673152565,Sell
2025-08-18 16:00:00,0.0038365546804770907,-0.0046175463628938705,Sell
2025-08-18 17:00:00,0.0018877807790749367,0.0003105121735342228,Hold
2025-08-18 20:00:00,0.0013318390960409517,0.0018616998749390206,Hold
2025-08-18 21:00:00,-0.007322046217607332,0.0014192536153141743,Hold
2025-08-18 22:00:00,-0.00562498352039547,0.001890718069610308,Hold
