entry_time,exit_time,direction,entry_price,exit_price,exit_reason,quantity,gross_pnl,commission,slippage,net_pnl,balance_after_trade,cumulative_pnl
2025-11-08 06:00:00,2025-11-09 14:19:00,short,102304.01,103327.0501,stop_loss,0.009774787909095646,-9.999999999999984,1.005,0.402,-11.406999999999984,9988.593,-11.406999999999984
2025-11-10 03:00:00,2025-11-11 01:19:00,short,106006.7,107066.76699999999,stop_loss,0.009422605363623243,-9.988592999999957,1.0038535965,0.4015414386,-11.393988035099957,9977.1990119649,-22.80098803509994
2025-11-11 08:00:00,2025-11-11 20:59:00,short,104783.99,102688.3102,take_profit,0.009521682665419497,19.95439802392978,0.9877427021845251,0.39509708087381007,18.571558240871443,9995.770570205772,-4.229429794228498
2025-11-11 23:00:00,2025-11-12 08:37:00,short,103000.02,104030.0202,stop_loss,0.009704629737164879,-9.995770570205723,1.0045749423056802,0.40182997692227207,-11.402175489433676,9984.368394716339,-15.631605283662173
2025-11-12 12:00:00,2025-11-12 14:48:00,long,105020.82,103970.6118,stop_loss,0.00950703717102603,-9.984368394716418,0.9934446552742757,0.39737786210971027,-11.375190912100404,9972.993203804239,-27.006796195762576
2025-11-13 02:00:00,2025-11-13 05:54:00,short,102006.99,103027.05990000001,stop_loss,0.009776774320861971,-9.972993203804261,1.002285816982326,0.40091432679293043,-11.376193347579518,9961.617010456659,-38.38298954334209
2025-11-15 04:00:00,2025-11-15 20:43:00,long,96417.12,95452.9488,stop_loss,0.010331792746409206,-9.96161701045663,0.9911808925404376,0.39647235701617506,-11.349270260013244,9950.267740196647,-49.73225980335533
2025-11-15 22:00:00,2025-11-16 16:18:00,long,95280.0,94327.2,stop_loss,0.010443186125311343,-9.950267740196677,0.9900516401495665,0.3960206560598266,-11.336340036406071,9938.93140016024,-61.068599839761404
2025-11-17 10:00:00,2025-11-17 13:29:00,long,95656.2,94699.63799999999,stop_loss,0.010390263673614716,-9.938931400160296,0.9889236743159439,0.3955694697263775,-11.323424544202616,9927.607975616038,-72.39202438396401
2025-11-18 11:00:00,2025-11-18 15:20:00,short,91585.01,92500.86009999999,stop_loss,0.010839773862137525,-9.927607975615995,0.9977246015494119,0.3990898406197647,-11.32442241778517,9916.283553198253,-83.71644680174919
