datetime,open,high,low,close,volume,ind_EMA,ind_RSI_14,ind_MACD_12_26_9,ind_MACD_SIGNAL_12_26_9,ind_MACD_hist,pat_DOJI,pat_ENGULFING,target
2025-01-03 02:00:00,-0.2616992932918211,-0.25624834561378357,-0.24631019324967746,-0.26265712850537914,-0.6583389673362446,-0.42526003176071003,0.6469109272334939,1.2107051318782345,1.4627107826854948,-0.7708166256228683,-5.199337582605575,0.007527483323829474,-0.006859312709927894
2025-01-03 03:00:00,-0.26330220915742186,-0.279550788433914,-0.24888194006391232,-0.2542895077456502,-1.2750641357320185,-0.4229280740899356,0.6176538722802558,1.1399608651943822,1.413826290680438,-0.8151482389524816,5.19933758270342,0.007527483323829474,-0.0096519103784918
2025-01-03 04:00:00,-0.2542895077456502,-0.2817701883393511,-0.2563604944073937,-0.27793805314497266,-1.2100609210025879,-0.4203467358349287,0.7178521037725671,1.090208658506966,1.3611067009853193,-0.7980097514446417,-5.199337582605575,1.5584816308643832,-0.0033613765686732865
2025-01-03 07:00:00,-0.2998691603456308,-0.3147812207208648,-0.30346700555912,-0.32392270693320413,-0.21002667469612257,-0.41425557866612345,-0.02201623786970457,0.7657320365886041,1.1445418355298946,-1.071317660687066,-5.199337582605575,0.007527483323829474,0.0037587105414754957
2025-01-03 08:00:00,-0.3263862170353673,-0.32450381938507067,-0.317998772828395,-0.3408828311201401,-0.21657049650372842,-0.41182820847902585,-0.3336679813770972,0.6148318313408714,1.0521985411369297,-1.2104174043118459,-5.199337582605575,0.007527483323829474,0.0038915144184685237
2025-01-03 10:00:00,-0.29835015827115896,-0.3157030930504244,-0.2909476944148145,-0.30690883195087304,-0.7847019344242664,-0.40673669468012835,0.045812684283368724,0.4142929739717777,0.8435938371539141,-1.2044261289163747,-5.199337582605575,1.5584816308643832,0.0054518752533752315
2025-01-03 11:00:00,-0.3094929711727625,-0.30146848066063525,-0.2839734096917925,-0.2826496059467689,-0.4571311273616576,-0.403203906723227,-0.03493739107895998,0.3395800900157926,0.7457152372291108,-1.112363639339805,-5.199337582605575,0.007527483323829474,0.007862653297176482
2025-01-03 12:00:00,-0.28350163650438603,-0.29197173340868493,-0.2653475765537513,-0.290070486480333,-0.6629769322084913,-0.39835866653707297,0.30545150455026504,0.3411273066499741,0.6852900118766754,-0.9152911162045596,-5.199337582605575,1.5584816308643832,0.012353110177557176
2025-01-03 13:00:00,-0.2905880471920955,-0.3005005725011507,-0.28464663857765066,-0.30463461919788964,-0.02134150391847487,-0.39509192576968555,0.16877211479479237,0.3191750802876244,0.6226068719155659,-0.7936756368262649,-5.199337582605575,0.007527483323829474,0.015640105186825695
2025-01-03 14:00:00,-0.3065525211888452,-0.25624834561378357,-0.28146485467064347,-0.25856555738837667,0.942403775518955,-0.39273311258707727,-0.05318503490183824,0.26090890244774895,0.5577161344566632,-0.760719654953171,-5.199337582605575,0.007527483323829474,0.015464552323819446
