datetime,open,high,low,close,volume,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,ema_20,atr_14
2026-06-29 02:50:00,59791.55,59791.55,59698.44,59709.76,173.51202999999998,61.72315054057128,68.94613707030658,1.2326780251080183,67.71345904519856,59814.24387473839,59429.244499999986,59044.24512526158,59472.05247774844,183.2168600355047
2026-06-29 02:55:00,59709.76,59803.0,59709.75,59757.46,106.68946,58.41520821416661,78.9234754278441,16.770837505655233,62.15263792218886,59844.21656963416,59440.62649999998,59037.03643036579,59494.69128939144,176.78065574725443
2026-06-29 03:00:00,59757.47,59992.0,59757.47,59918.41,151.55121,59.769527107572074,89.64619379426586,31.34590876337736,58.300285030888496,59883.93497795174,59463.79949999998,59043.664022048215,59519.71688087797,170.81418033673626
2026-06-29 03:05:00,59918.41,60186.81,59918.41,60081.03,232.33129,64.0267235132779,109.8648911606142,47.04970524282473,62.81518591778948,59952.509308369925,59492.81949999997,59033.12969163001,59557.68765412769,175.366024598398
2026-06-29 03:10:00,60081.04,60168.34,59992.0,60003.71,39.61302,67.74109878168899,137.42626498141908,65.1250171905436,72.30124779087548,60048.573229091744,59531.865999999965,59015.15877090819,59607.529782306,182.0113085556549
2026-06-29 03:15:00,60003.71,60025.52,59966.0,60003.72,21.10466,64.33947805742929,151.28584543952456,82.35718284033979,68.92866259918478,60108.28603826633,59569.35199999997,59030.41796173361,59645.261231610195,181.6062150873936
2026-06-29 03:20:00,60003.72,60104.0,59987.23,60098.03,48.5552,64.33972746587051,160.42123359969992,97.96999299221181,62.4512406074881,60164.52525796977,59595.138499999965,59025.75174203016,59679.40016193303,172.88577115257954
2026-06-29 03:25:00,60098.03,60233.0,60064.31,60172.68,79.30254,66.70481547855184,173.27373163288576,113.0307407203466,60.242990912539156,60232.043422193085,59622.73949999997,59013.43557780685,59719.26967032036,168.87750178453794
2026-06-29 03:30:00,60172.68,60209.35,60031.69,60057.67,47.44409,68.48644265983032,187.32370893372718,127.88933436302271,59.43437457070446,60306.93299371567,59653.272999999965,58999.61300628426,59762.451606480325,168.86410879992826
2026-06-29 03:35:00,60057.67,60063.75,59878.27,59923.04,40.935159999999996,62.90187603029064,187.0221958909824,139.71590666861465,47.30628922236775,60353.53786791271,59681.65699999996,59009.776132087216,59790.56764395839,169.49238674279027
2026-06-29 03:40:00,59923.04,59950.0,59880.0,59920.01,27.20736,57.0385472230011,173.91494554819656,146.55571444453102,27.359231103665536,60375.95921079418,59705.761499999964,59035.56378920575,59803.1840588195,170.63435911830547
2026-06-29 03:45:00,59920.01,60027.17,59881.45,60000.01,28.53182,56.90997282621857,161.4220862135553,149.5289887983359,11.893097415219415,60393.05240370787,59731.485499999966,59069.91859629206,59814.31033893193,163.44619060985505
2026-06-29 03:50:00,60000.0,60076.01,59956.31,60014.01,23.68164,59.505435651835434,156.17643190620583,150.8584774199099,5.317954486295946,60400.93579518213,59769.24049999997,59137.54520481781,59831.996020938415,162.18003413772263
2026-06-29 03:55:00,60014.01,60058.0,59957.49,60049.46,40.62726,59.95995806178844,151.4036095069241,150.96750383731273,0.4361056696113792,60357.36617904562,59818.74599999997,59280.12582095432,59849.33068561095,159.14574598502847
2026-06-29 04:00:00,60049.45,60053.99,59974.48,59998.92,25.59333,61.149096930994126,148.7667417068369,150.52735141121758,-1.7606097043806699,60310.72044007424,59864.41899999997,59418.117559925704,59868.39062031467,154.95747841466942
2026-06-29 04:05:00,59998.92,60000.0,59934.24,59948.95,15.25302,58.48243958878396,140.97379124572035,148.61663937811812,-7.6428481323977735,60265.058741407236,59899.48099999997,59533.903258592705,59880.82198980851,149.5683728136212
2026-06-29 04:10:00,59948.95,59960.0,59900.0,59924.0,15.32441,55.88736642726633,129.27545351982553,144.74840220645962,-15.472948686634084,60247.535607128935,59919.62849999997,59591.721392871004,59887.31037173151,143.5820604697913
2026-06-29 04:15:00,59924.0,59978.0,59911.83,59928.01,18.63883,54.58497032521989,116.6465512728173,139.12803201973117,-22.48148074691386,60209.85717103243,59940.19299999997,59670.52882896751,59890.80462204279,137.61191329337763
2026-06-29 04:20:00,59928.01,59946.0,59846.0,59945.99,29.73248,54.76741841641369,105.74269280268345,132.45096417632163,-26.708271373638183,60189.71242521533,59953.89649999997,59718.08057478462,59894.34799137205,132.50891948670767
2026-06-29 04:25:00,59946.0,60000.01,59941.03,59955.14,40.37847,55.62816850283864,97.42904080695735,125.44657950244877,-28.017538695491425,60183.94035144143,59962.32049999997,59740.700648558515,59899.26627790805,130.1868538090857
2026-06-29 04:30:00,59955.13,59963.95,59890.55,59895.47,17.86351,56.086145169398215,90.53510786664265,118.46428517528754,-27.929177308644896,60177.92476337119,59970.500499999966,59763.07623662874,59904.58758477395,125.1006499655798
2026-06-29 04:35:00,59895.47,59905.73,59812.0,59824.42,26.06557,52.295444576629194,79.34213923400966,110.63985598703196,-31.2977167530223,60153.592606644066,59979.785999999964,59805.97939335586,59903.71924336691,121.4077463966094
2026-06-29 04:40:00,59824.42,59845.28,59746.0,59845.26,74.87959000000001,48.12460224911534,64.0007291744405,101.31203062451367,-37.311301450073174,60141.582252861874,59983.13399999996,59824.68574713805,59896.16693447482,119.43076451113753
2026-06-29 04:45:00,59845.26,59846.0,59786.0,59832.48,69.05013,49.39937883142962,52.914203011816426,91.63246510197422,-38.71826209015779,60146.85734820761,59979.47649999997,59812.095651792326,59891.31865500103,117.99142418891334
2026-06-29 04:50:00,59832.48,59906.0,59810.99,59877.99,14.372499999999999,48.61048168645195,42.60568020050414,81.8271081216802,-39.22142792117606,60139.26267209027,59967.04899999996,59794.835327909655,59885.71497357236,113.84917960399096
2026-06-29 04:55:00,59878.0,59878.0,59795.92,59830.0,14.317279999999998,51.57612619227736,37.6740947477665,72.99650544689746,-35.322410699130955,60136.31068292756,59960.76299999996,59785.21531707237,59884.979261803564,112.50352391799176
2026-06-29 05:00:00,59830.01,59861.57,59692.45,59695.99,23.12395,48.40397300700653,29.552720450061315,64.30774844753023,-34.755027997468915,60135.28708230827,59952.07699999997,59768.86691769167,59879.7431416318,110.33041506670676
2026-06-29 05:05:00,59696.0,59696.0,59470.58,59564.03,74.97626,40.84863173079955,12.162780809980177,53.87875492002022,-41.715974110040044,60133.97803789249,59931.97499999996,59729.97196210743,59862.24284242877,114.52967113337074
2026-06-29 05:10:00,59564.03,59594.0,59392.02,59534.01,104.55143999999999,35.04741775547494,-12.127146609571355,40.67757461410191,-52.80472122367326,60130.866733978866,59901.54249999997,59672.21826602107,59833.84161934032,122.45040890955842
2026-06-29 05:15:00,59534.01,59715.45,59534.01,59598.01,28.75967,33.8690064726649,-33.414273258968024,25.85920503948792,-59.27347829845594,60143.66580776762,59875.35949999998,59607.053192232335,59805.28622702219,128.13109398744731
2026-06-29 05:20:00,59599.99,59670.0,59596.67,59662.0,17.62127,38.6082076945935,-44.606018944286916,11.766160242732955,-56.37217918701987,60152.12965926206,59859.10799999997,59566.086340737886,59785.545633972455,131.93887298834358
2026-06-29 05:25:00,59662.0,59717.93,59661.99,59685.99,15.57094,43.00610664422276,-47.761534578719875,-0.13937872155761077,-47.62215585716226,60149.89237483942,59846.207499999975,59542.52262516053,59773.77938311794,127.75252491774772
2026-06-29 05:30:00,59685.99,59799.99,59646.0,59799.99,23.235129999999998,44.60818355717983,-47.77578147659369,-9.666659272564827,-38.109122204028864,60133.22964953039,59830.506499999974,59527.78335046956,59765.41848948766,122.62305885219448
2026-06-29 05:35:00,59800.0,59836.0,59720.0,59762.0,25.19359,51.574293000322136,-38.148473131899664,-15.363022044431794,-22.78545108746787,60110.72611479287,59819.80549999997,59528.88488520707,59768.71101429836,124.86355464846615
2026-06-29 05:40:00,59761.99,59770.72,59731.99,59744.0,18.02908,49.347111804708774,-33.201511059764016,-18.93071984749824,-14.270791212265777,60077.33051192135,59805.43249999997,59533.5344880786,59768.07187007947,124.23044360214713
