datetime,open,high,low,close,rsi_14
2026-06-29 02:50:00,59791.55,59791.55,59698.44,59709.76,61.72315054057128
2026-06-29 02:55:00,59709.76,59803.0,59709.75,59757.46,58.41520821416661
2026-06-29 03:00:00,59757.47,59992.0,59757.47,59918.41,59.769527107572074
2026-06-29 03:05:00,59918.41,60186.81,59918.41,60081.03,64.0267235132779
2026-06-29 03:10:00,60081.04,60168.34,59992.0,60003.71,67.74109878168899
2026-06-29 03:15:00,60003.71,60025.52,59966.0,60003.72,64.33947805742929
2026-06-29 03:20:00,60003.72,60104.0,59987.23,60098.03,64.33972746587051
2026-06-29 03:25:00,60098.03,60233.0,60064.31,60172.68,66.70481547855184
2026-06-29 03:30:00,60172.68,60209.35,60031.69,60057.67,68.48644265983032
2026-06-29 03:35:00,60057.67,60063.75,59878.27,59923.04,62.90187603029064
2026-06-29 03:40:00,59923.04,59950.0,59880.0,59920.01,57.0385472230011
2026-06-29 03:45:00,59920.01,60027.17,59881.45,60000.01,56.90997282621857
2026-06-29 03:50:00,60000.0,60076.01,59956.31,60014.01,59.505435651835434
2026-06-29 03:55:00,60014.01,60058.0,59957.49,60049.46,59.95995806178844
2026-06-29 04:00:00,60049.45,60053.99,59974.48,59998.92,61.149096930994126
2026-06-29 04:05:00,59998.92,60000.0,59934.24,59948.95,58.48243958878396
2026-06-29 04:10:00,59948.95,59960.0,59900.0,59924.0,55.88736642726633
2026-06-29 04:15:00,59924.0,59978.0,59911.83,59928.01,54.58497032521989
2026-06-29 04:20:00,59928.01,59946.0,59846.0,59945.99,54.76741841641369
2026-06-29 04:25:00,59946.0,60000.01,59941.03,59955.14,55.62816850283864
2026-06-29 04:30:00,59955.13,59963.95,59890.55,59895.47,56.086145169398215
2026-06-29 04:35:00,59895.47,59905.73,59812.0,59824.42,52.295444576629194
2026-06-29 04:40:00,59824.42,59845.28,59746.0,59845.26,48.12460224911534
2026-06-29 04:45:00,59845.26,59846.0,59786.0,59832.48,49.39937883142962
2026-06-29 04:50:00,59832.48,59906.0,59810.99,59877.99,48.61048168645195
2026-06-29 04:55:00,59878.0,59878.0,59795.92,59830.0,51.57612619227736
2026-06-29 05:00:00,59830.01,59861.57,59692.45,59695.99,48.40397300700653
2026-06-29 05:05:00,59696.0,59696.0,59470.58,59564.03,40.84863173079955
2026-06-29 05:10:00,59564.03,59594.0,59392.02,59534.01,35.04741775547494
2026-06-29 05:15:00,59534.01,59715.45,59534.01,59598.01,33.8690064726649
2026-06-29 05:20:00,59599.99,59670.0,59596.67,59662.0,38.6082076945935
2026-06-29 05:25:00,59662.0,59717.93,59661.99,59685.99,43.00610664422276
2026-06-29 05:30:00,59685.99,59799.99,59646.0,59799.99,44.60818355717983
2026-06-29 05:35:00,59800.0,59836.0,59720.0,59762.0,51.574293000322136
2026-06-29 05:40:00,59761.99,59770.72,59731.99,59744.0,49.347111804708774
