datetime,open,high,low,close,ema_20
2026-06-29 02:50:00,59791.55,59791.55,59698.44,59709.76,59472.05247774844
2026-06-29 02:55:00,59709.76,59803.0,59709.75,59757.46,59494.69128939144
2026-06-29 03:00:00,59757.47,59992.0,59757.47,59918.41,59519.71688087797
2026-06-29 03:05:00,59918.41,60186.81,59918.41,60081.03,59557.68765412769
2026-06-29 03:10:00,60081.04,60168.34,59992.0,60003.71,59607.529782306
2026-06-29 03:15:00,60003.71,60025.52,59966.0,60003.72,59645.261231610195
2026-06-29 03:20:00,60003.72,60104.0,59987.23,60098.03,59679.40016193303
2026-06-29 03:25:00,60098.03,60233.0,60064.31,60172.68,59719.26967032036
2026-06-29 03:30:00,60172.68,60209.35,60031.69,60057.67,59762.451606480325
2026-06-29 03:35:00,60057.67,60063.75,59878.27,59923.04,59790.56764395839
2026-06-29 03:40:00,59923.04,59950.0,59880.0,59920.01,59803.1840588195
2026-06-29 03:45:00,59920.01,60027.17,59881.45,60000.01,59814.31033893193
2026-06-29 03:50:00,60000.0,60076.01,59956.31,60014.01,59831.996020938415
2026-06-29 03:55:00,60014.01,60058.0,59957.49,60049.46,59849.33068561095
2026-06-29 04:00:00,60049.45,60053.99,59974.48,59998.92,59868.39062031467
2026-06-29 04:05:00,59998.92,60000.0,59934.24,59948.95,59880.82198980851
2026-06-29 04:10:00,59948.95,59960.0,59900.0,59924.0,59887.31037173151
2026-06-29 04:15:00,59924.0,59978.0,59911.83,59928.01,59890.80462204279
2026-06-29 04:20:00,59928.01,59946.0,59846.0,59945.99,59894.34799137205
2026-06-29 04:25:00,59946.0,60000.01,59941.03,59955.14,59899.26627790805
2026-06-29 04:30:00,59955.13,59963.95,59890.55,59895.47,59904.58758477395
2026-06-29 04:35:00,59895.47,59905.73,59812.0,59824.42,59903.71924336691
2026-06-29 04:40:00,59824.42,59845.28,59746.0,59845.26,59896.16693447482
2026-06-29 04:45:00,59845.26,59846.0,59786.0,59832.48,59891.31865500103
2026-06-29 04:50:00,59832.48,59906.0,59810.99,59877.99,59885.71497357236
2026-06-29 04:55:00,59878.0,59878.0,59795.92,59830.0,59884.979261803564
2026-06-29 05:00:00,59830.01,59861.57,59692.45,59695.99,59879.7431416318
2026-06-29 05:05:00,59696.0,59696.0,59470.58,59564.03,59862.24284242877
2026-06-29 05:10:00,59564.03,59594.0,59392.02,59534.01,59833.84161934032
2026-06-29 05:15:00,59534.01,59715.45,59534.01,59598.01,59805.28622702219
2026-06-29 05:20:00,59599.99,59670.0,59596.67,59662.0,59785.545633972455
2026-06-29 05:25:00,59662.0,59717.93,59661.99,59685.99,59773.77938311794
2026-06-29 05:30:00,59685.99,59799.99,59646.0,59799.99,59765.41848948766
2026-06-29 05:35:00,59800.0,59836.0,59720.0,59762.0,59768.71101429836
2026-06-29 05:40:00,59761.99,59770.72,59731.99,59744.0,59768.07187007947
