datetime,open,high,low,close,bb_upper,bb_middle,bb_lower
2026-06-29 02:50:00,59791.55,59791.55,59698.44,59709.76,59814.24387473839,59429.244499999986,59044.24512526158
2026-06-29 02:55:00,59709.76,59803.0,59709.75,59757.46,59844.21656963416,59440.62649999998,59037.03643036579
2026-06-29 03:00:00,59757.47,59992.0,59757.47,59918.41,59883.93497795174,59463.79949999998,59043.664022048215
2026-06-29 03:05:00,59918.41,60186.81,59918.41,60081.03,59952.509308369925,59492.81949999997,59033.12969163001
2026-06-29 03:10:00,60081.04,60168.34,59992.0,60003.71,60048.573229091744,59531.865999999965,59015.15877090819
2026-06-29 03:15:00,60003.71,60025.52,59966.0,60003.72,60108.28603826633,59569.35199999997,59030.41796173361
2026-06-29 03:20:00,60003.72,60104.0,59987.23,60098.03,60164.52525796977,59595.138499999965,59025.75174203016
2026-06-29 03:25:00,60098.03,60233.0,60064.31,60172.68,60232.043422193085,59622.73949999997,59013.43557780685
2026-06-29 03:30:00,60172.68,60209.35,60031.69,60057.67,60306.93299371567,59653.272999999965,58999.61300628426
2026-06-29 03:35:00,60057.67,60063.75,59878.27,59923.04,60353.53786791271,59681.65699999996,59009.776132087216
2026-06-29 03:40:00,59923.04,59950.0,59880.0,59920.01,60375.95921079418,59705.761499999964,59035.56378920575
2026-06-29 03:45:00,59920.01,60027.17,59881.45,60000.01,60393.05240370787,59731.485499999966,59069.91859629206
2026-06-29 03:50:00,60000.0,60076.01,59956.31,60014.01,60400.93579518213,59769.24049999997,59137.54520481781
2026-06-29 03:55:00,60014.01,60058.0,59957.49,60049.46,60357.36617904562,59818.74599999997,59280.12582095432
2026-06-29 04:00:00,60049.45,60053.99,59974.48,59998.92,60310.72044007424,59864.41899999997,59418.117559925704
2026-06-29 04:05:00,59998.92,60000.0,59934.24,59948.95,60265.058741407236,59899.48099999997,59533.903258592705
2026-06-29 04:10:00,59948.95,59960.0,59900.0,59924.0,60247.535607128935,59919.62849999997,59591.721392871004
2026-06-29 04:15:00,59924.0,59978.0,59911.83,59928.01,60209.85717103243,59940.19299999997,59670.52882896751
2026-06-29 04:20:00,59928.01,59946.0,59846.0,59945.99,60189.71242521533,59953.89649999997,59718.08057478462
2026-06-29 04:25:00,59946.0,60000.01,59941.03,59955.14,60183.94035144143,59962.32049999997,59740.700648558515
2026-06-29 04:30:00,59955.13,59963.95,59890.55,59895.47,60177.92476337119,59970.500499999966,59763.07623662874
2026-06-29 04:35:00,59895.47,59905.73,59812.0,59824.42,60153.592606644066,59979.785999999964,59805.97939335586
2026-06-29 04:40:00,59824.42,59845.28,59746.0,59845.26,60141.582252861874,59983.13399999996,59824.68574713805
2026-06-29 04:45:00,59845.26,59846.0,59786.0,59832.48,60146.85734820761,59979.47649999997,59812.095651792326
2026-06-29 04:50:00,59832.48,59906.0,59810.99,59877.99,60139.26267209027,59967.04899999996,59794.835327909655
2026-06-29 04:55:00,59878.0,59878.0,59795.92,59830.0,60136.31068292756,59960.76299999996,59785.21531707237
2026-06-29 05:00:00,59830.01,59861.57,59692.45,59695.99,60135.28708230827,59952.07699999997,59768.86691769167
2026-06-29 05:05:00,59696.0,59696.0,59470.58,59564.03,60133.97803789249,59931.97499999996,59729.97196210743
2026-06-29 05:10:00,59564.03,59594.0,59392.02,59534.01,60130.866733978866,59901.54249999997,59672.21826602107
2026-06-29 05:15:00,59534.01,59715.45,59534.01,59598.01,60143.66580776762,59875.35949999998,59607.053192232335
2026-06-29 05:20:00,59599.99,59670.0,59596.67,59662.0,60152.12965926206,59859.10799999997,59566.086340737886
2026-06-29 05:25:00,59662.0,59717.93,59661.99,59685.99,60149.89237483942,59846.207499999975,59542.52262516053
2026-06-29 05:30:00,59685.99,59799.99,59646.0,59799.99,60133.22964953039,59830.506499999974,59527.78335046956
2026-06-29 05:35:00,59800.0,59836.0,59720.0,59762.0,60110.72611479287,59819.80549999997,59528.88488520707
2026-06-29 05:40:00,59761.99,59770.72,59731.99,59744.0,60077.33051192135,59805.43249999997,59533.5344880786
