entry_time,exit_time,direction,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,balance_after_trade,cumulative_pnl
2026-04-02 04:00:00,2026-04-02 09:23:00,long,52.47,51.945299999999996,19.058509624547362,-10.000000000000055,0.9950000000000001,0.398,-11.393000000000054,9988.607,-11.393000000000054
2026-04-02 10:00:00,2026-04-02 13:15:00,long,52.04,51.5196,19.194094926979247,-9.988607000000043,0.9938663965,0.3975465586,-11.380019955100042,9977.2269800449,-22.773019955100096
2026-04-02 14:00:00,2026-04-03 05:30:00,long,51.78,52.8156,19.268495519592314,19.954453960089843,1.0076999249845349,0.403079969993814,18.543674065111492,9995.77065411001,-4.229345889988604
2026-04-05 08:00:00,2026-04-05 22:58:00,long,52.73,53.7846,18.956515558714226,19.991541308220036,1.009572836065111,0.4038291344260445,18.57813933772888,10014.34879344774,14.348793447740277
2026-04-06 00:00:00,2026-04-07 10:52:00,short,54.12,53.0376,18.50397042396109,20.02869758689548,0.9914205305513264,0.39656821222053057,18.640708844123623,10032.989502291863,32.9895022918639
2026-04-07 23:00:00,2026-04-07 23:46:00,short,55.02,55.57020000000001,18.235168124848897,-10.032989502291933,1.0083154449803324,0.403326177992133,-11.444631125264399,10021.544871166598,21.5448711665995
2026-04-08 00:00:00,2026-04-08 18:45:00,short,55.36,54.2528,18.102501573639085,20.043089742333173,0.9921329422454932,0.39685317689819727,18.65410362318948,10040.198974789788,40.19897478978898
2026-04-11 20:00:00,2026-04-12 01:35:00,short,55.64,54.5272,18.044929861232546,20.080397949579577,0.9939796985041891,0.3975918794016756,18.68882637167371,10058.887801161462,58.88780116146269
2026-04-13 10:00:00,2026-04-13 22:16:00,long,52.92,53.9784,19.00772449199067,20.1177756023229,1.0159476679173078,0.40637906716692307,18.695448867238667,10077.5832500287,77.58325002870136
2026-04-15 20:00:00,2026-04-16 16:18:00,short,55.53,56.085300000000004,18.147997929099045,-10.077583250028747,1.0127971166278844,0.4051188466511538,-11.495499213307786,10066.087750815392,66.08775081539358
2026-04-17 14:00:00,2026-04-18 04:28:00,short,57.27,56.1246,17.576545749634,20.132175501630822,0.9965426873307239,0.3986170749322896,18.73701573936781,10084.824766554759,84.82476655476138
2026-04-19 23:00:00,2026-04-20 07:22:00,long,54.14,55.2228,18.627308397773845,20.1696495331095,1.018567301422031,0.40742692056881236,18.743655311118655,10103.568421865877,103.56842186588004
