entry_time,exit_time,direction,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,balance_after_trade,cumulative_pnl
2026-04-02 01:01:00,2026-04-02 02:13:00,short,68391.7,67023.866,0.014621657306369048,20.00000000000004,0.99,0.396,18.61400000000004,10018.614,18.61400000000004
2026-04-02 17:01:00,2026-04-05 15:30:00,short,67012.8,67682.928,0.014950299047346178,-10.018613999999953,1.006870707,0.4027482828,-11.428232989799954,10007.1857670102,7.185767010200086
2026-04-05 16:01:00,2026-04-05 22:45:00,short,67343.5,68016.935,0.014859913379925607,-10.007185767010167,1.005722169584525,0.4022888678338101,-11.415196804428502,9995.770570205772,-4.229429794228416
2026-04-06 23:01:00,2026-04-07 11:01:00,long,68776.3,68088.537,0.014533742830314764,-9.995770570205865,0.9945791717354744,0.39783166869418973,-11.388181410635529,9984.382388795137,-15.617611204863945
2026-04-07 18:01:00,2026-04-07 20:01:00,short,68744.7,69432.147,0.014523857677457517,-9.984382388795138,1.0034304300739114,0.40137217202956454,-11.389184990898613,9972.993203804239,-27.006796195762558
2026-04-08 15:01:00,2026-04-09 15:48:00,long,70872.0,72289.44,0.014071838248961846,19.945986407608512,1.0072723135842283,0.4029089254336913,18.535805168590592,9991.52900897283,-8.470991027171966
2026-04-10 07:01:00,2026-04-10 15:24:00,long,71844.3,73281.186,0.013907197939116715,19.98305801794564,1.009144429906256,0.40365777196250235,18.57025581607688,10010.099264788907,10.099264788904915
2026-04-11 06:01:00,2026-04-12 01:39:00,long,72712.5,71985.375,0.013766682846537951,-10.010099264788908,0.9960048768464963,0.3984019507385985,-11.404506092374003,9998.694758696533,-1.3052413034690886
2026-04-12 02:01:00,2026-04-12 13:00:00,long,71666.4,70949.73599999999,0.013951719018531048,-9.998694758696596,0.9948701284903052,0.3979480513961221,-11.391512938583023,9987.30324575795,-12.696754242052112
2026-04-12 22:01:00,2026-04-13 13:50:00,short,70923.0,71632.23,0.014081896205402972,-9.987303245757893,1.003723976198674,0.40148959047946964,-11.392516812436037,9975.910728945515,-24.08927105448815
2026-04-14 19:01:00,2026-04-16 13:54:00,long,74136.3,73394.937,0.013456175623743719,-9.975910728945482,0.9926031175300788,0.39704124701203153,-11.365555093487593,9964.545173852028,-35.454826147975744
2026-04-16 16:01:00,2026-04-16 20:00:00,short,74749.2,75496.692,0.013330637884889777,-9.964545173852008,1.0014367899721288,0.4005747159888516,-11.366556679812987,9953.178617172214,-46.82138282778873
