entry_time,exit_time,direction,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,balance_after_trade,cumulative_pnl
2026-04-02 00:00:00,2026-04-02 00:01:00,short,0.0595,0.058309999999999994,16806.722689075632,20.00000000000006,0.99,0.396,18.61400000000006,10018.614,18.61400000000006
2026-04-02 01:00:00,2026-04-02 01:08:00,long,0.0591,0.058509,16951.96954314721,-10.018614000000023,0.9968520930000001,0.3987408372000001,-11.414206930200022,10007.1997930698,7.199793069800039
2026-04-03 05:00:00,2026-04-03 05:32:00,short,0.0564,0.056964,17743.26204445,-10.007199793069836,1.0057235792035149,0.40228943168140596,-11.415212803954757,9995.784580265845,-4.215419734154718
2026-04-03 19:00:00,2026-04-04 00:10:00,long,0.0568,0.056232000000000004,17598.21228920043,-9.995784580265827,0.9945805657364516,0.39783222629458065,-11.38819737229686,9984.396382893548,-15.603617106451578
2026-04-04 11:00:00,2026-04-05 06:51:00,short,0.0566,0.055467999999999996,17640.27629486493,19.968792765787118,0.9884552419064614,0.39538209676258457,18.58495542711807,10002.981338320666,2.9813383206664934
2026-04-06 00:00:00,2026-04-06 09:26:00,short,0.0557,0.056257,17958.67385694913,-10.002981338320701,1.0052996245012271,0.4021198498004908,-11.410400812622418,9991.570937508042,-8.429062491955925
2026-04-06 19:00:00,2026-04-06 21:24:00,long,0.0558,0.055242,17906.041106645236,-9.991570937508094,0.9941613082820502,0.3976645233128201,-11.383396769102964,9980.18754073894,-19.81245926105889
2026-04-07 20:00:00,2026-04-07 21:21:00,short,0.0543,0.054843,18379.719227880185,-9.980187540738974,1.0030088478442636,0.40120353913770546,-11.384399927720944,9968.803140811218,-31.196859188779833
2026-04-08 15:00:00,2026-04-08 17:10:00,long,0.0552,0.056304,18059.42597973047,19.937606281622454,1.0068491172219332,0.4027396468887733,18.52801751751175,9987.33115832873,-12.668841671268083
2026-04-09 04:00:00,2026-04-09 10:06:00,short,0.0556,0.056156,17962.82582433225,-9.987331158328747,1.0037267814120372,0.40149071256481494,-11.3925486523056,9975.938609676425,-24.061390323573683
2026-04-10 13:00:00,2026-04-10 22:38:00,long,0.0581,0.057519,17170.29020598352,-9.975938609676394,0.9926058916628044,0.3970423566651218,-11.36558685800432,9964.57302281842,-35.426977181578
2026-04-11 09:00:00,2026-04-11 09:18:00,short,0.0578,0.058378,17239.745714218723,-9.964573022818458,1.0014395887932515,0.4005758355173006,-11.366588447129011,9953.206434371292,-46.793565628707015
2026-04-12 01:00:00,2026-04-12 01:36:00,long,0.0578,0.057221999999999995,17220.080336282514,-9.95320643437133,0.9903440402199436,0.39613761608797743,-11.33968809067925,9941.866746280613,-58.13325371938626
2026-04-13 14:00:00,2026-04-13 21:27:00,short,0.0564,0.056964,17627.42330900818,-9.941866746280649,0.9991576080012017,0.3996630432004806,-11.34068739748233,9930.526058883132,-69.47394111686859
2026-04-14 13:00:00,2026-04-14 18:38:00,long,0.0571,0.056528999999999996,17391.46420119638,-9.930526058883169,0.9880873428588718,0.39523493714354874,-11.31384833888559,9919.212210544247,-80.78778945575418
