entry_time,exit_time,direction,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,balance_after_trade,cumulative_pnl
2026-04-02 13:00:00,2026-04-02 14:37:00,long,2026.98,2067.5196,0.4933447789322046,20.000000000000032,1.0100000000000002,0.404,18.58600000000003,10018.586,18.58600000000003
2026-04-05 13:00:00,2026-04-05 15:31:00,long,2028.37,2068.9374,0.49392300221360014,20.037171999999956,1.011877186,0.4047508744,18.620543939599955,10037.2065439396,37.20654393959998
2026-04-06 00:00:00,2026-04-06 00:01:00,short,2110.17,2131.2717000000002,0.4756586693934422,-10.037206543939677,1.0087392576659298,0.40349570306637195,-11.449441504671979,10025.757102434927,25.757102434928
2026-04-06 01:00:00,2026-04-06 02:11:00,short,2122.0,2143.22,0.4724673469573481,-10.025757102434833,1.00758858879471,0.40303543551788407,-11.436381126747426,10014.32072130818,14.320721308180575
2026-04-06 03:00:00,2026-04-06 09:16:00,short,2133.59,2154.9259,0.4693648133572139,-10.014320721308199,1.0064392324914722,0.4025756929965889,-11.423335646796259,10002.897385661385,2.897385661384316
2026-04-06 10:00:00,2026-04-06 22:59:00,short,2150.97,2107.9505999999997,0.46504123189358226,20.005794771322833,0.9902868411804773,0.39611473647219086,18.619393193670163,10021.516778855055,21.51677885505448
2026-04-07 23:00:00,2026-04-07 23:12:00,short,2219.78,2241.9778,0.451464414439947,-10.021516778855018,1.0071624362749332,0.4028649745099733,-11.431544189639926,10010.085234665416,10.085234665414553
2026-04-08 00:00:00,2026-04-08 09:06:00,short,2240.01,2262.4101,0.4468768101332322,-10.010085234665343,1.0060135660838743,0.4024054264335497,-11.418504227182767,9998.666730438234,-1.3332695617682138
2026-04-08 10:00:00,2026-04-08 14:35:00,short,2249.59,2204.5982,0.44446617963443263,19.997333460876572,0.9898680063133851,0.3959472025253541,18.611518252037833,10017.27824869027,17.27824869026962
2026-04-11 19:00:00,2026-04-11 19:33:00,short,2305.43,2328.4843,0.43450802013898804,-10.017278248690376,1.0067364639933722,0.40269458559734894,-11.426709298281096,10005.85153939199,5.851539391988524
2026-04-11 20:00:00,2026-04-12 01:33:00,short,2315.96,2269.6408,0.43203904814383626,20.011703078783942,0.9905793023998071,0.3962317209599229,18.624892055424212,10024.476431447414,24.476431447412736
2026-04-12 15:00:00,2026-04-13 14:44:00,long,2180.88,2224.4976,0.4596528204874828,20.048952862894847,1.012472119576189,0.4049888478304756,18.631491895488182,10043.107923342903,43.10792334290092
2026-04-13 23:00:00,2026-04-13 23:24:00,short,2352.74,2376.2673999999997,0.42686858400600597,-10.04310792334288,1.0093323462959618,0.40373293851838477,-11.456173208157226,10031.651750134746,31.651750134743693
2026-04-14 00:00:00,2026-04-14 08:36:00,short,2369.46,2393.1546,0.42337290986700543,-10.031651750134666,1.0081810008885421,0.4032724003554168,-11.443105151378626,10020.208644983368,20.20864498336507
2026-04-14 09:00:00,2026-04-14 14:32:00,short,2387.62,2411.4962,0.41967350939359566,-10.020208644983432,1.0070309688208285,0.4028123875283314,-11.430052001332593,10008.778592982035,8.778592982032476
2026-04-17 14:00:00,2026-04-17 16:31:00,short,2437.05,2461.4205,0.41069237779208606,-10.008778592982031,1.0058822485946943,0.4023528994378778,-11.417013741014603,9997.36157924102,-2.638420758982127
2026-04-17 17:00:00,2026-04-18 03:56:00,short,2451.31,2402.2837999999997,0.40783750644516686,19.994723158482138,0.989738796344861,0.39589551853794436,18.609088843599334,10015.97066808462,15.970668084617207
2026-04-19 07:00:00,2026-04-19 07:22:00,long,2327.2,2303.928,0.4303871892439249,-10.015970668084591,0.9965890814744196,0.39863563258976786,-11.41119538214878,10004.55947270247,4.559472702468428
2026-04-19 08:00:00,2026-04-19 18:01:00,long,2316.03,2292.8697,0.4319702021434295,-10.004559472702473,0.995453667533896,0.3981814670135584,-11.398194607249927,9993.161278095222,-6.838721904781499
2026-04-19 19:00:00,2026-04-19 22:00:00,long,2295.78,2272.8222,0.4352839243348762,-9.993161278095279,0.9943195471704745,0.39772781886818986,-11.385208644133943,9981.776069451087,-18.22393054891544
2026-04-19 23:00:00,2026-04-20 07:23:00,long,2269.78,2315.1756,0.4397684387672412,19.9635521389021,1.0081593830145599,0.40326375320582397,18.552129002681713,10000.328198453768,0.328198453766273
