method,target_type,model,accuracy,precision,total_return,final_balance,total_trades,win_rate
none,classification,logistic_regression,0.5237668161434977,0.4517442068886403,-30.41715839531571,9969.582841604684,50,0.36
none,classification,xgboost,0.4807174887892376,0.3936999795602071,-270.6059609662607,9729.39403903374,74,0.25675675675675674
none,classification,lightgbm,0.5049327354260089,0.4173692385493426,-201.24651542483662,9798.753484575163,52,0.25
standard_scaler,classification,logistic_regression,0.5112107623318386,0.5313275797280897,-13.944688025059804,9986.05531197494,17,0.35294117647058826
standard_scaler,classification,xgboost,0.4807174887892376,0.3936999795602071,-270.6059609662607,9729.39403903374,74,0.25675675675675674
standard_scaler,classification,lightgbm,0.5040358744394619,0.4109270747159586,-228.75480050677288,9771.245199493227,55,0.23636363636363636
minmax_scaler,classification,logistic_regression,0.5031390134529148,0.1681654676258992,-11.406999999999243,9988.593,1,0.0
minmax_scaler,classification,xgboost,0.4825112107623318,0.4024294334019882,-375.5872355993124,9624.412764400688,73,0.2054794520547945
minmax_scaler,classification,lightgbm,0.5040358744394619,0.4138416761148283,-275.1721771190805,9724.82782288092,58,0.22413793103448276
robust_scaler,classification,logistic_regression,0.5085201793721973,0.4682979503687706,18.772114277102446,10018.772114277102,16,0.4375
robust_scaler,classification,xgboost,0.4807174887892376,0.3936999795602071,-270.6059609662607,9729.39403903374,74,0.25675675675675674
robust_scaler,classification,lightgbm,0.5085201793721973,0.4210823580156559,-171.75500532069418,9828.244994679306,52,0.2692307692307692
maxabs_scaler,classification,logistic_regression,0.5031390134529148,0.1681654676258992,-11.406999999999243,9988.593,1,0.0
maxabs_scaler,classification,xgboost,0.4807174887892376,0.3936999795602071,-270.6059609662607,9729.39403903374,74,0.25675675675675674
maxabs_scaler,classification,lightgbm,0.5049327354260089,0.4173692385493426,-201.24651542483662,9798.753484575163,52,0.25
quantile_transformer,classification,logistic_regression,0.5210762331838565,0.4466625799838339,1.8407821261025674,10001.840782126103,48,0.375
quantile_transformer,classification,xgboost,0.4807174887892376,0.3936999795602071,-270.6059609662607,9729.39403903374,74,0.25675675675675674
quantile_transformer,classification,lightgbm,0.5040358744394619,0.4138416761148283,-275.1721771190805,9724.82782288092,58,0.22413793103448276
power_transformer,classification,logistic_regression,0.5183856502242152,0.4406408492781413,98.39340858152536,10098.393408581525,44,0.45454545454545453
power_transformer,classification,xgboost,0.4807174887892376,0.3936999795602071,-270.6059609662607,9729.39403903374,74,0.25675675675675674
power_transformer,classification,lightgbm,0.5067264573991032,0.4268255725784988,-128.07103933719554,9871.928960662804,56,0.30357142857142855
normalizer,classification,logistic_regression,0.5040358744394619,0.1680119581464872,0.0,10000.0,0,0.0
normalizer,classification,xgboost,0.4941704035874439,0.4201894063872375,-366.74149437317647,9633.258505626824,69,0.2028985507246377
normalizer,classification,lightgbm,0.515695067264574,0.4465222935513706,-238.78906413212826,9761.210935867872,58,0.2413793103448276
rolling_zscore,classification,logistic_regression,0.5068119891008175,0.4442420702025531,10.567681477907172,10010.567681477907,28,0.39285714285714285
rolling_zscore,classification,xgboost,0.4613987284287011,0.4040308574066248,-40.386551174417036,9959.613448825583,83,0.3614457831325301
rolling_zscore,classification,lightgbm,0.4904632152588556,0.4257118760510233,11.253182425414707,10011.253182425415,70,0.38571428571428573
fractional_differencing,classification,logistic_regression,0.4864130434782608,0.3984861278231653,-214.8834704480796,9785.11652955192,69,0.2753623188405797
fractional_differencing,classification,xgboost,0.4818840579710144,0.3806070506836765,-266.7680834163348,9733.231916583665,50,0.2
fractional_differencing,classification,lightgbm,0.4873188405797101,0.3767110762800418,-138.08644130674293,9861.913558693257,49,0.2857142857142857
simple_differencing,classification,logistic_regression,0.4941704035874439,0.3068783068783069,-89.14883860654481,9910.851161393455,21,0.23809523809523808
simple_differencing,classification,xgboost,0.4869955156950672,0.4214191022320877,-125.33075811550952,9874.66924188449,75,0.32
simple_differencing,classification,lightgbm,0.4798206278026906,0.4025001651703572,-74.09553432842222,9925.904465671578,67,0.34328358208955223
winsorization,classification,logistic_regression,0.5228699551569507,0.4469661602014543,-29.734857586972794,9970.265142413027,52,0.36538461538461536
winsorization,classification,xgboost,0.4932735426008968,0.4089402651723058,-471.573341309675,9528.426658690325,68,0.14705882352941177
winsorization,classification,lightgbm,0.4932735426008968,0.399381422827008,-223.53415923341709,9776.465840766583,54,0.24074074074074073
log_transform,classification,logistic_regression,0.5228699551569507,0.4455511162390815,43.329819485963526,10043.329819485964,47,0.40425531914893614
log_transform,classification,xgboost,0.4932735426008968,0.4095974360640118,-254.03358024585577,9745.966419754144,62,0.24193548387096775
log_transform,classification,lightgbm,0.5049327354260089,0.4173692385493426,-201.24651542483662,9798.753484575163,52,0.25
gaussian_quantile_transform,classification,logistic_regression,0.5174887892376682,0.4353684844002756,36.10420074563626,10036.104200745636,45,0.4
gaussian_quantile_transform,classification,xgboost,0.4807174887892376,0.3936999795602071,-270.6059609662607,9729.39403903374,74,0.25675675675675674
gaussian_quantile_transform,classification,lightgbm,0.5067264573991032,0.4201889866405995,-164.73376513378025,9835.26623486622,54,0.2777777777777778
