method,target_type,model,final_balance,total_net_profit,total_trades,wins,losses,win_rate
rolling_zscore,classification,xgboost,9959.613448825583,-40.386551174417036,83,30,53,0.3614457831325301
fractional_differencing,classification,lightgbm,9861.913558693257,-138.08644130674293,49,14,35,0.2857142857142857
fractional_differencing,classification,logistic_regression,9785.11652955192,-214.8834704480796,69,19,50,0.2753623188405797
fractional_differencing,classification,xgboost,9733.231916583665,-266.7680834163348,50,10,40,0.2
simple_differencing,classification,lightgbm,9925.904465671578,-74.09553432842222,67,23,44,0.34328358208955223
simple_differencing,classification,logistic_regression,9910.851161393455,-89.14883860654481,21,5,16,0.23809523809523808
simple_differencing,classification,xgboost,9874.66924188449,-125.33075811550952,75,24,51,0.32
winsorization,classification,lightgbm,9776.465840766583,-223.53415923341709,54,13,41,0.24074074074074073
winsorization,classification,logistic_regression,9970.265142413027,-29.734857586972794,52,19,33,0.36538461538461536
winsorization,classification,xgboost,9528.426658690325,-471.573341309675,68,10,58,0.14705882352941177
log_transform,classification,lightgbm,9798.753484575163,-201.24651542483662,52,13,39,0.25
log_transform,classification,logistic_regression,10043.329819485964,43.329819485963526,47,19,28,0.40425531914893614
log_transform,classification,xgboost,9745.966419754144,-254.03358024585577,62,15,47,0.24193548387096775
gaussian_quantile_transform,classification,lightgbm,9835.26623486622,-164.73376513378025,54,15,39,0.2777777777777778
gaussian_quantile_transform,classification,logistic_regression,10036.104200745636,36.10420074563626,45,18,27,0.4
gaussian_quantile_transform,classification,xgboost,9729.39403903374,-270.6059609662607,74,19,55,0.25675675675675674
