direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-06 16:00:00,2026-07-06 17:00:00,0.1861,0.1846,5373.455131649651,8.060182697474483,0.9959699086512628,0.3983879634605051,6.665824825362715,reversal,10006.665824825363,binance,ada
long,2026-07-06 17:00:00,2026-07-06 18:13:00,0.1848,0.182952,5414.862459321084,-10.006665824825301,0.9956632495701236,0.3982652998280495,-11.400594374223473,stop_loss,9995.26523045114,binance,ada
short,2026-07-06 19:00:00,2026-07-06 21:09:00,0.1835,0.185335,5447.011024769014,-9.995265230451158,1.0045241556603397,0.40180966226413584,-11.401599048375633,stop_loss,9983.863631402764,binance,ada
long,2026-07-11 18:00:00,2026-07-11 22:39:00,0.1708,0.169092,5845.353414170237,-9.983863631402853,0.9933944313245751,0.39735777252983,-11.374615835257258,stop_loss,9972.489015567508,binance,ada
short,2026-07-12 03:00:00,2026-07-12 22:00:00,0.1651,0.161798,6040.271965819205,19.94497803113501,0.9872764125411833,0.39491056501647337,18.562791053577353,take_profit,9991.051806621084,binance,ada
long,2026-07-14 19:00:00,2026-07-15 12:53:00,0.1633,0.166566,6118.219109994541,19.982103613242117,1.0090962324687296,0.4036384929874919,18.569368887785895,take_profit,10009.62117550887,binance,ada
short,2026-07-16 20:00:00,2026-07-17 02:09:00,0.1629,0.15964199999999998,6144.641605591694,20.019242351017805,0.9909524963753781,0.3963809985501512,18.631908856092277,take_profit,10028.253084364962,binance,ada
long,2026-07-17 21:00:00,2026-07-18 02:32:00,0.1657,0.169014,6052.053762441136,20.056506168729996,1.0128535615208611,0.4051414246083445,18.63851118260079,take_profit,10046.891595547562,binance,ada
