direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-08 05:00:00,2026-07-08 15:10:00,1756.35,1721.223,0.5693625985708999,19.99999999999997,0.99,0.396,18.613999999999972,take_profit,10018.614,bybit,eth
long,2026-07-10 05:00:00,2026-07-10 13:52:00,1774.81,1810.3062,0.5644893819620128,20.037228000000024,1.011880014,0.4047520056,18.620595980400026,take_profit,10037.234595980399,bybit,eth
short,2026-07-13 08:00:00,2026-07-13 18:19:00,1787.45,1751.701,0.5615393211547399,20.074469191960812,0.9936862250020595,0.3974744900008238,18.68330847695793,take_profit,10055.917904457358,bybit,eth
long,2026-07-14 14:00:00,2026-07-15 12:50:00,1871.61,1909.0421999999999,0.5372870365331109,20.111835808914698,1.0156477083501931,0.4062590833400772,18.689929017224426,take_profit,10074.607833474582,bybit,eth
short,2026-07-17 03:00:00,2026-07-17 13:11:00,1848.19,1811.2262,0.5451067170298823,20.14921566694916,0.9973861755139837,0.3989544702055935,18.75287502122958,take_profit,10093.360708495811,bybit,eth
