direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol
short,2026-07-02 12:00:00,2026-07-02 12:14:00,0.1596,0.161196,6265.664160401003,-10.000000000000089,1.0050000000000001,0.402,-11.407000000000089,stop_loss,9988.593,binance,ada
short,2026-07-02 14:00:00,2026-07-03 01:20:00,0.1619,0.163519,6169.606547251391,-9.98859300000006,1.0038535965000002,0.40154143860000013,-11.393988035100062,stop_loss,9977.1990119649,binance,ada
short,2026-07-03 02:00:00,2026-07-03 02:17:00,0.1658,0.167458,6017.6109842972855,-9.977199011964856,1.0027085007024723,0.401083400280989,-11.380990912948317,stop_loss,9965.818021051951,binance,ada
short,2026-07-03 04:00:00,2026-07-03 05:16:00,0.1668,0.163464,5974.711043796134,19.931636042103936,0.9866159840841432,0.3946463936336573,18.550373664386136,take_profit,9984.368394716337,binance,ada
short,2026-07-03 06:00:00,2026-07-03 06:16:00,0.1638,0.165438,6095.463000437325,-9.984368394716341,1.003429023668992,0.4013716094675968,-11.389169027852931,stop_loss,9972.979225688485,binance,ada
short,2026-07-03 12:00:00,2026-07-03 14:07:00,0.1696,0.171296,5880.294354769154,-9.972979225688503,1.0022844121816927,0.40091376487267716,-11.376177402742872,stop_loss,9961.603048285742,binance,ada
short,2026-07-03 16:00:00,2026-07-03 17:06:00,0.1736,0.17533600000000002,5738.250603851234,-9.961603048285829,1.0011411063527171,0.4004564425410869,-11.363200597179633,stop_loss,9950.239847688563,binance,ada
short,2026-07-03 18:00:00,2026-07-03 18:18:00,0.1757,0.177457,5663.198547346934,-9.95023984768861,0.9999991046927006,0.39999964187708026,-11.350238594258393,stop_loss,9938.889609094304,binance,ada
short,2026-07-03 20:00:00,2026-07-03 20:59:00,0.181,0.18281,5491.099231543814,-9.938889609094337,0.9988584057139775,0.399543362285591,-11.337291377093907,stop_loss,9927.552317717209,binance,ada
short,2026-07-03 22:00:00,2026-07-03 23:00:00,0.1792,0.180992,5539.928748726121,-9.927552317717142,0.9977190079305793,0.3990876031722318,-11.324358928819953,stop_loss,9916.22795878839,binance,ada
short,2026-07-04 00:00:00,2026-07-04 07:02:00,0.1798,0.17620399999999997,5515.143469848938,19.83245591757687,0.9817065679200506,0.39268262716802027,18.458066722488798,take_profit,9934.686025510879,binance,ada
short,2026-07-04 08:00:00,2026-07-04 12:30:00,0.1759,0.177659,5647.917012797543,-9.934686025510938,0.9984359455638434,0.39937437822553734,-11.33249634930032,stop_loss,9923.353529161579,binance,ada
short,2026-07-04 16:00:00,2026-07-04 16:02:00,0.1909,0.19280899999999998,5198.194619780817,-9.923353529161549,0.9972970296807386,0.3989188118722955,-11.319569370714584,stop_loss,9912.033959790864,binance,ada
short,2026-07-04 18:00:00,2026-07-04 18:27:00,0.1999,0.195902,4958.496228009438,19.82406791958174,0.9812913620192958,0.3925165448077183,18.450260012754725,take_profit,9930.484219803619,binance,ada
short,2026-07-04 20:00:00,2026-07-05 00:32:00,0.1932,0.189336,5140.002184163363,19.86096843960727,0.9831179377605582,0.3932471751042233,18.484603326742487,take_profit,9948.96882313036,binance,ada
short,2026-07-05 02:00:00,2026-07-05 07:32:00,0.1913,0.193213,5200.715537443994,-9.94896882313035,0.9998713667246014,0.3999485466898406,-11.348788736544792,stop_loss,9937.620034393816,binance,ada
long,2026-07-08 06:00:00,2026-07-08 08:16:00,0.1699,0.168201,5849.099490520199,-9.937620034393854,0.9887931934221847,0.395517277368874,-11.321930505184913,stop_loss,9926.298103888632,binance,ada
long,2026-07-08 10:00:00,2026-07-08 14:01:00,0.1658,0.16911600000000002,5986.910798485303,19.852596207777342,1.002556108492752,0.4010224433971008,18.44901765588749,take_profit,9944.74712154452,binance,ada
long,2026-07-08 18:00:00,2026-07-09 06:25:00,0.1658,0.16911600000000002,5998.038070895368,19.88949424308912,1.0044194592759965,0.4017677837103987,18.483307000102727,take_profit,9963.230428544623,binance,ada
long,2026-07-13 04:00:00,2026-07-13 17:36:00,0.1589,0.157311,6270.126135018642,-9.963230428544668,0.99134142764019,0.396536571056076,-11.351108427240934,stop_loss,9951.879320117381,binance,ada
long,2026-07-13 20:00:00,2026-07-13 21:36:00,0.1583,0.156717,6286.720985544777,-9.951879320117389,0.9902119923516796,0.3960847969406718,-11.33817610940974,stop_loss,9940.541144007972,binance,ada
