trade_id,direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol,cumulative_pnl
38068f0d-b782-4d75-997f-aff6a5547f6d,short,2026-07-02 16:00:00,2026-07-03 13:53:00,61612.93,62229.0593,0.016230359439163174,-10.000000000000007,1.005,0.40199999999999997,-11.407000000000005,stop_loss,9988.593,binance,btc,-11.406999999999243
595a8fa3-40b5-4829-be45-3410863e402e,short,2026-07-04 00:00:00,2026-07-04 17:48:00,62583.26,63209.0926,0.01596048687780087,-9.988593000000025,1.0038535965000002,0.4015414386,-11.393988035100026,stop_loss,9977.1990119649,binance,btc,-22.80098803510009
017404ae-a184-4763-a596-93167897d631,short,2026-07-04 20:00:00,2026-07-05 22:30:00,63294.72,63927.6672,0.01576308262674185,-9.977199011964936,1.0027085007024725,0.401083400280989,-11.380990912948398,stop_loss,9965.818021051951,binance,btc,-34.18197894804871
db1e54d3-6205-4985-bfd0-f8f99fb021c4,long,2026-07-13 06:00:00,2026-07-13 13:52:00,62799.01,62171.0199,0.015869387146472454,-9.965818021051994,0.9915988930946692,0.3966395572378677,-11.354056471384531,stop_loss,9954.463964580567,binance,btc,-45.536035419432665
246ae904-d5aa-499d-9a27-2ca257b2d8ee,long,2026-07-13 16:00:00,2026-07-13 17:36:00,62618.0,61991.82,0.015897128564598947,-9.954463964580574,0.9904691644757666,0.3961876657903067,-11.341120794846647,stop_loss,9943.12284378572,binance,btc,-56.87715621427924
bcb870da-a166-4746-9fdb-02ea51b4af23,long,2026-07-13 20:00:00,2026-07-14 12:30:00,62288.23,63533.994600000005,0.01596308458883118,19.886245687571478,1.0042554072223577,0.4017021628889431,18.48028811746018,take_profit,9961.60313190318,binance,btc,-38.39686809681916
cfda5807-bb23-4406-98e7-f41f5aa5a561,short,2026-07-15 02:00:00,2026-07-15 13:02:00,64674.35,65321.0935,0.01540271086126599,-9.961603131903246,1.0011411147562699,0.4004564459025079,-11.363200692562023,stop_loss,9950.239931210619,binance,btc,-49.760068789380966
short,2026-07-02 16:00:00,2026-07-03 13:53:00,61612.93,62229.0593,0.016230359439163174,-10.000000000000007,1.005,0.40199999999999997,-11.407000000000005,stop_loss,9988.593,binance,btc,-11.406999999999243
short,2026-07-04 00:00:00,2026-07-04 17:48:00,62583.26,63209.0926,0.01596048687780087,-9.988593000000025,1.0038535965000002,0.4015414386,-11.393988035100026,stop_loss,9977.1990119649,binance,btc,-22.80098803510009
short,2026-07-04 20:00:00,2026-07-05 22:30:00,63294.72,63927.6672,0.01576308262674185,-9.977199011964936,1.0027085007024725,0.401083400280989,-11.380990912948398,stop_loss,9965.818021051951,binance,btc,-34.18197894804871
long,2026-07-13 06:00:00,2026-07-13 13:52:00,62799.01,62171.0199,0.015869387146472454,-9.965818021051994,0.9915988930946692,0.3966395572378677,-11.354056471384531,stop_loss,9954.463964580567,binance,btc,-45.536035419432665
long,2026-07-13 16:00:00,2026-07-13 17:36:00,62618.0,61991.82,0.015897128564598947,-9.954463964580574,0.9904691644757666,0.3961876657903067,-11.341120794846647,stop_loss,9943.12284378572,binance,btc,-56.87715621427924
long,2026-07-13 20:00:00,2026-07-14 12:30:00,62288.23,63533.994600000005,0.01596308458883118,19.886245687571478,1.0042554072223577,0.4017021628889431,18.48028811746018,take_profit,9961.60313190318,binance,btc,-38.39686809681916
short,2026-07-15 02:00:00,2026-07-15 13:02:00,64674.35,65321.0935,0.01540271086126599,-9.961603131903246,1.0011411147562699,0.4004564459025079,-11.363200692562023,stop_loss,9950.239931210619,binance,btc,-49.760068789380966
