datetime,open,high,low,close,sma_20
2025-01-01 20:00:00,94626.58,94865.47,94578.62,94786.84,93901.402
2025-01-01 21:00:00,94786.84,95171.35,94684.49,94980.02,93921.0665
2025-01-01 22:00:00,94980.02,95008.2,94687.9,94805.11,93989.38100000001
2025-01-01 23:00:00,94805.11,94963.21,94544.53,94602.88,94024.87850000002
2025-01-02 00:00:00,94602.88,95385.29,94390.09,95143.97,94063.11250000002
2025-01-02 01:00:00,95143.97,95530.93,94732.06,94873.42,94141.81150000003
2025-01-02 02:00:00,94873.42,95244.4,94808.74,95244.39,94195.66350000002
2025-01-02 03:00:00,95244.39,95309.29,94927.61,95016.6,94269.74650000002
2025-01-02 04:00:00,95016.6,96021.19,94992.06,95714.29,94335.91050000003
2025-01-02 05:00:00,95714.29,95802.69,95392.03,95597.47,94450.45700000002
2025-01-02 06:00:00,95597.47,95706.51,95376.32,95590.24,94559.47350000002
2025-01-02 07:00:00,95590.24,95890.75,95515.06,95832.07,94672.24400000002
2025-01-02 08:00:00,95832.07,96225.43,95637.53,96146.35,94791.68000000002
2025-01-02 09:00:00,96146.35,96800.0,96038.26,96745.28,94908.29750000002
2025-01-02 10:00:00,96745.28,96807.54,96533.82,96716.43,95044.20000000003
2025-01-02 11:00:00,96716.43,96886.52,96477.37,96747.73,95171.22150000001
2025-01-02 12:00:00,96747.73,96914.01,96609.96,96859.57,95286.71250000002
2025-01-02 13:00:00,96859.57,96980.49,96446.71,96470.97,95424.94950000002
2025-01-02 14:00:00,96470.97,97428.57,95947.36,97268.96,95541.80500000002
2025-01-02 15:00:00,97268.96,97369.9,96161.09,96468.58,95688.45850000002
2025-01-02 16:00:00,96468.58,97658.55,96047.16,97239.69,95780.55850000001
2025-01-02 17:00:00,97239.69,97597.06,96332.84,96763.15,95903.20100000002
2025-01-02 18:00:00,96763.15,97363.83,96402.59,97322.76,95992.35750000001
2025-01-02 19:00:00,97322.76,97788.7,97203.52,97329.01,96118.24
2025-01-02 20:00:00,97329.01,97850.0,97293.47,97298.34,96254.5465
2025-01-02 21:00:00,97298.34,97352.8,97040.0,97207.48,96362.265
2025-01-02 22:00:00,97207.48,97207.48,96686.02,96898.35,96478.96800000001
2025-01-02 23:00:00,96898.35,97085.09,96781.49,96997.37,96561.66600000001
2025-01-03 00:00:00,96997.37,97087.69,96787.59,96841.47,96660.70450000002
2025-01-03 01:00:00,96841.47,97014.6,96652.85,96992.35,96717.06350000002
2025-01-03 02:00:00,96992.35,97356.31,96853.1,96983.09,96786.80750000002
2025-01-03 03:00:00,96983.09,97107.61,96832.11,97064.12,96856.45000000003
2025-01-03 04:00:00,97064.12,97080.5,96767.91,96826.09,96918.05250000002
2025-01-03 05:00:00,96826.09,96875.99,96580.15,96773.29,96952.03950000001
2025-01-03 06:00:00,96773.29,96925.91,96520.36,96553.05,96953.44000000002
2025-01-03 07:00:00,96553.05,96667.85,96291.06,96311.86,96945.27100000002
2025-01-03 08:00:00,96311.86,96539.83,96100.0,96127.12,96923.47750000002
2025-01-03 09:00:00,96127.12,96714.56,96101.0,96550.3,96886.85500000003
2025-01-03 10:00:00,96550.3,96655.84,96407.4,96493.58,96890.82150000003
2025-01-03 11:00:00,96493.58,96836.78,96483.89,96755.91,96852.05250000003
2025-01-03 12:00:00,96755.91,96936.85,96664.06,96664.19,96866.41900000002
2025-01-03 13:00:00,96664.19,96851.91,96466.58,96514.04,96837.64400000003
2025-01-03 14:00:00,96514.04,97346.42,96514.04,97029.51,96825.18850000003
2025-01-03 15:00:00,97029.51,97670.0,96765.06,97525.02,96810.52600000004
2025-01-03 16:00:00,97525.02,98441.0,97401.0,97877.75,96820.32650000004
