entry_time,exit_time,direction,entry_price,exit_price,exit_reason,quantity,gross_pnl,commission,slippage,net_pnl,balance_after_trade,cumulative_pnl
2025-09-02 13:00:00,2025-09-02 13:35:00,short,108796.0,109883.96,stop_loss,0.00919151439391154,-10.000000000000059,1.005,0.402,-11.407000000000059,9988.593,-11.407000000000059
2025-10-10 21:00:00,2025-10-10 21:12:00,long,114266.82,113124.1518,stop_loss,0.008741464057545313,-9.988593,0.9938650035000001,0.3975460014,-11.3800040049,9977.212995995102,-22.78700400490006
2025-10-11 00:00:00,2025-10-11 00:19:00,long,112774.49,111646.7451,stop_loss,0.008847047764077763,-9.977212995995146,0.9927326931015126,0.397093077240605,-11.367038766337263,9965.845957228765,-34.15404277123732
2025-10-11 01:00:00,2025-10-11 01:24:00,long,112514.57,111389.4243,stop_loss,0.008857382610295507,-9.965845957228838,0.9916016727442623,0.3966406690977049,-11.354088299070805,9954.491868929694,-45.508131070308124
2025-10-11 03:00:00,2025-10-11 03:21:00,long,113196.48,112064.5152,stop_loss,0.008793994185092765,-9.95449186892971,0.9904719409585045,0.3961887763834019,-11.341152586271617,9943.150716343422,-56.84928365657974
2025-10-11 04:00:00,2025-10-11 07:09:00,long,112300.0,111177.0,stop_loss,0.008854096808854338,-9.943150716343421,0.9893434962761705,0.3957373985104682,-11.32823161113006,9931.82248473229,-68.17751526770981
2025-10-11 08:00:00,2025-10-12 14:51:00,long,110384.6,112592.292,take_profit,0.008997471100798744,19.86364496946454,1.0031140709579616,0.40124562838318456,18.459285270123395,9950.281770002413,-49.71822999758641
2025-10-30 04:00:00,2025-10-30 04:23:00,long,110751.48,109643.96519999999,stop_loss,0.008984333003949395,-9.950281770002453,0.9900530361152401,0.39602121444609606,-11.33635602056379,9938.94541398185,-61.054586018150204
2025-11-03 15:00:00,2025-11-03 15:26:00,long,108060.0,106979.4,stop_loss,0.009197617447697438,-9.938945413981905,0.9889250686911942,0.3955700274764777,-11.323440510149577,9927.6219734717,-72.37802652829978
2025-11-04 05:00:00,2025-11-04 05:26:00,long,106750.14,105682.6386,stop_loss,0.00929986787227792,-9.927621973471643,0.9877983863604343,0.3951193545441737,-11.310539714376251,9916.311433757324,-83.68856624267603
2025-11-04 15:00:00,2025-11-04 15:53:00,long,104500.01,103455.00989999999,stop_loss,0.009489292329979035,-9.91631143375737,0.9866729876588538,0.3946691950635415,-11.297653616479765,9905.013780140844,-94.9862198591558
2025-11-04 16:00:00,2025-11-04 16:59:00,long,103197.02,102165.04980000001,stop_loss,0.009598158726037673,-9.905013780140806,0.9855488711240139,0.3942195484496056,-11.284782199714424,9893.728997941129,-106.27100205887022
2025-11-04 17:00:00,2025-11-04 17:16:00,long,102257.7,101235.12299999999,stop_loss,0.0096752899761496,-9.893728997941176,0.9844260352951424,0.39377041411805697,-11.271925447354375,9882.457072493775,-117.5429275062246
