datetime,open,high,low,close,volume,ind_EMA,ind_RSI_14,ind_MACD_12_26_9,ind_MACD_SIGNAL_12_26_9,ind_MACD_hist,pat_DOJI,pat_ENGULFING,target
2025-01-03 02:00:00,96985.47,97342.44,96856.98,96966.85,388.64008,95286.45800000001,57.95889724273934,525.2695227258664,629.9599900578229,-104.69046733195648,0.0,0.0,-0.006859312709927894
2025-01-03 03:00:00,96966.85,97090.91,96833.99,97062.3,255.7492,95352.35572549021,57.659938988155865,491.4397056688322,602.2559331800247,-110.81622751119255,100.0,0.0,-0.0096519103784918
2025-01-03 04:00:00,97062.3,97066.18,96766.51,96813.41,265.52213,95419.41236370629,58.832212369158135,466.9486557732307,575.1944776986659,-108.24582192543517,0.0,80.0,-0.0033613765686732865
2025-01-03 07:00:00,96539.49,96645.83,96280.65,96304.0,546.86929,95564.511660656,50.03832103370334,322.829022413207,473.82440352658875,-150.99538111338177,0.0,0.0,0.0037587105414754957
2025-01-03 08:00:00,96304.0,96529.84,96100.01,96129.97,543.39121,95593.51120337538,46.411502149745225,256.21790928175324,430.30310467762166,-174.08519539586842,0.0,0.0,0.0038915144184685237
2025-01-03 10:00:00,96554.32,96640.01,96402.82,96488.53,355.37669,95651.40257566486,50.910616865534706,164.89214338650345,338.328754547157,-173.43661116065357,0.0,80.0,0.0054518752533752315
2025-01-03 11:00:00,96488.53,96830.0,96482.51,96757.58,448.41508,95684.23110210938,49.86758183300159,140.26591379764432,298.7161863972545,-158.45027259961017,0.0,0.0,0.007862653297176482
2025-01-03 12:00:00,96757.57,96921.36,96666.66,96666.66,387.5824,95726.32321575214,54.01663568893057,140.83606538703316,267.1401621952102,-126.30409680817706,0.0,80.0,0.012353110177557176
2025-01-03 13:00:00,96666.66,96839.71,96472.43,96504.79,630.80373,95763.19916807559,52.43727385870517,132.42491845123004,240.1971134464142,-107.77219499518415,0.0,0.0,0.015640105186825695
2025-01-03 14:00:00,96504.8,97342.44,96504.79,97016.01,1390.59074,95792.2811614844,49.6537327977105,111.41316608327907,214.44032397378717,-103.02715789050811,0.0,0.0,0.015464552323819446
2025-01-03 15:00:00,97016.0,97660.0,96759.12,97521.35,1587.60159,95840.27052770069,57.35334200077903,134.4623838453408,198.4447359480979,-63.98235210275709,0.0,0.0,0.010918895450969754
2025-01-03 16:00:00,97521.36,98444.42,97406.54,97868.2,1899.91498,95906.1952128889,63.32425655110936,191.30057572336227,197.0159039031508,-5.715328179788514,0.0,0.0,0.0045195370307615805
2025-01-03 17:00:00,97868.21,98299.76,97837.63,98026.0,799.71144,95983.13657708933,66.76386547452829,261.3208049642708,209.8768841153748,51.443920848896,0.0,0.0,0.0025135177144100275
2025-01-03 18:00:00,98025.99,98697.86,98000.0,98527.98,813.64324,96063.24886818387,68.22395654514241,325.7899782445893,233.0595029412177,92.7304753033716,0.0,0.0,-0.0022706626941102065
2025-01-03 19:00:00,98527.97,98976.91,98491.53,98592.01,1070.42711,96159.90499100019,72.3806416104895,412.6312965896359,268.97386167090133,143.65743491873457,0.0,0.0,-0.0047357166056250875
2025-01-03 20:00:00,98592.02,98748.0,98300.0,98311.52,846.16971,96255.2816580198,72.86817909582707,481.07482182761305,311.3940537022437,169.68076812536935,0.0,0.0,-0.0018731514373380137
2025-01-04 02:00:00,98040.0,98314.15,97848.48,98304.51,368.90158,96663.01274657466,60.71346709262957,453.90330813355104,443.53907705040467,10.364231083146365,0.0,0.0,-0.006266918911254264
2025-01-04 05:00:00,98001.0,98196.51,97988.76,98126.21,249.97787,96832.8157770523,57.60772178720439,401.8553849986638,434.7928363685366,-32.937451369872804,0.0,0.0,-0.0034391386129729814
2025-01-04 06:00:00,98126.21,98209.7,98039.91,98127.54,211.92338,96883.53711912868,59.489845587775356,381.2295686479192,424.0801828244131,-42.85061417649388,0.0,0.0,-0.0024298933482670027
2025-01-04 07:00:00,98127.53,98350.04,98095.17,98271.88,454.46141,96932.32154582952,59.51040932876225,360.83134137997695,411.43041453552587,-50.59907315554892,100.0,0.0,-0.003912729298492234
2025-01-04 11:00:00,97789.32,97923.07,97711.54,97889.39,279.11118,97076.33157714007,51.29415915761677,224.4489707848552,331.1082408606048,-106.65927007574959,0.0,0.0,0.0012952155053847008
2025-01-04 15:00:00,98035.05,98152.02,97514.79,97657.94,737.78425,97205.38001541546,56.13178849153401,164.86833591078175,239.7965964577931,-74.92826054701135,0.0,0.0,0.009590357590087908
2025-01-04 16:00:00,97657.95,97874.68,97549.99,97704.6,575.11901,97223.12746579133,47.428878066731556,128.45478967530653,217.5282351012958,-89.07344542598926,0.0,-100.0,0.0067102813602956364
2025-01-04 17:00:00,97704.6,98049.99,97687.77,98016.26,251.44705,97242.00874164265,48.49300811281572,102.18395100448106,194.45937828193286,-92.2754272774518,0.0,0.0,0.004082710297163034
2025-01-04 18:00:00,98016.26,98139.13,97909.85,97961.56,237.21797,97272.37153608805,55.03938123534902,105.29866200592369,176.62723502673103,-71.32857302080734,0.0,0.0,0.002567810895723818
2025-01-04 20:00:00,98166.26,98671.02,98166.25,98599.02,441.69473,97333.39310194056,57.74328538011535,114.89343253757397,152.3681881457964,-37.47475560822244,0.0,80.0,-0.004834127312485074
2025-01-04 21:00:00,98599.02,98778.43,98344.0,98362.43,536.3759,97383.02552931543,64.68773186629653,158.07050605976838,153.5086517285908,4.561854331177585,0.0,0.0,-0.001372908926984403
2025-01-05 00:00:00,98220.51,98391.59,98154.18,98213.43,254.43352000000002,97490.28967635699,55.26368727130413,176.13143878422852,165.17161376069566,10.959825023532858,0.0,-80.0,0.0014808795049041413
2025-01-05 01:00:00,98213.44,98322.35,98050.0,98123.53,237.36247,97518.64812042142,55.099814485743146,167.43353253311943,165.6239975151804,1.8095350179390266,100.0,0.0,0.0033365413123014813
2025-01-05 04:00:00,98187.97,98522.76,98187.96,98357.46,238.65677,97593.49976057066,54.103520586632484,136.22696889781218,154.74623800615706,-18.519269108344872,0.0,0.0,-0.006323284688206021
2025-01-05 05:00:00,98357.46,98500.0,98264.78,98358.98,212.64998,97623.45898564631,57.73806827016712,140.81160478005768,151.9593113609372,-11.147706580879515,0.0,0.0,-0.007319907861794068
2025-01-05 06:00:00,98358.98,98500.0,98304.82,98451.47,149.6113,97652.30294699351,57.77036413383152,142.92011887834815,150.1514728644194,-7.231353986071241,100.0,0.0,-0.006945852612501718
2025-01-05 07:00:00,98451.48,98464.84,98268.77,98268.77,118.31169,97683.64283142514,59.78422682626305,150.32148896814033,150.18547608516357,0.1360128829767575,0.0,0.0,-0.0023799839194821528
2025-01-05 11:00:00,97737.48,97822.16,97615.13,97641.63,186.71771,97711.34231404838,42.69205302631786,12.917765802019858,98.34687437168017,-85.42910856966031,0.0,0.0,0.0028357478028178465
2025-01-05 12:00:00,97641.62,97956.66,97569.04,97770.01,316.47526,97708.60849781119,40.794364937960964,-21.230260884505697,74.431447320443,-95.6617082049487,0.0,-80.0,0.0031618159516790625
2025-01-05 16:00:00,98028.98,98332.54,97937.82,98035.17,454.56381,97728.15056190208,51.56577895520497,-43.19076185642916,1.6857974434134277,-44.87655929984259,0.0,0.0,0.004694925764240408
2025-01-05 17:00:00,98035.17,98078.94,97673.57,97731.08,358.65597,97740.1905398667,51.71888065220179,-31.344202906897408,-4.92020262664874,-26.42400028024867,100.0,0.0,0.0098167892159724
2025-01-05 18:00:00,97731.09,97927.98,97577.46,97918.91,301.29033,97739.8332637935,44.308932853671344,-45.96340369679092,-13.128842840677176,-32.83456085611374,0.0,-80.0,0.00453123141972707
2025-01-05 19:00:00,97918.91,98109.0,97854.99,98079.63,306.85684,97746.85588089963,49.15471841617525,-41.9098042735277,-18.88503512724728,-23.024769146280416,0.0,0.0,0.001401958467777648
2025-01-05 21:00:00,98275.71,98522.46,98216.58,98496.52,327.78368,97780.133460223,57.11162692333269,3.4035852247907314,-15.475358879906473,18.878944104697204,0.0,0.0,0.0026656752881996366
